Datum,Type,Aantal
2020-07-08,Overleden,0.0
2020-07-09,Totaal,62.0
2020-07-09,Ziekenhuisopname,
2020-07-09,Overleden,0.0
2020-07-10,Totaal,99.0
2020-07-10,Ziekenhuisopname,
2020-07-10,Overleden,1.0
2020-07-11,Totaal,74.0
2020-07-11,Ziekenhuisopname,
2020-07-11,Overleden,0.0
2020-07-12,Totaal,88.0
2020-07-12,Ziekenhuisopname,
2020-07-12,Overleden,2.0
2020-07-13,Totaal,101.0
2020-07-13,Ziekenhuisopname,
2020-07-13,Overleden,0.0
2020-07-14,Totaal,95.0
2020-07-14,Ziekenhuisopname,
2020-07-14,Overleden,2.0
2020-07-15,Totaal,150.0
2020-07-15,Ziekenhuisopname,
2020-07-15,Overleden,3.0
2020-07-16,Totaal,134.0
2020-07-16,Ziekenhuisopname,
2020-07-16,Overleden,0.0
2020-07-17,Totaal,162.0
2020-07-17,Ziekenhuisopname,
2020-07-17,Overleden,1.0
2020-07-18,Totaal,135.0
2020-07-18,Ziekenhuisopname,
2020-07-18,Overleden,0.0
2020-07-19,Totaal,153.0
2020-07-19,Ziekenhuisopname,
2020-07-19,Overleden,1.0
2020-07-20,Totaal,179.0
2020-07-20,Ziekenhuisopname,
2020-07-20,Overleden,2.0
2020-07-21,Totaal,167.0
2020-07-21,Ziekenhuisopname,
2020-07-21,Overleden,0.0
2020-07-22,Totaal,140.0
2020-07-22,Ziekenhuisopname,
2020-07-22,Overleden,3.0
2020-07-23,Totaal,217.0
2020-07-23,Ziekenhuisopname,
2020-07-23,Overleden,1.0
2020-07-24,Totaal,188.0
2020-07-24,Ziekenhuisopname,
2020-07-24,Overleden,0.0
2020-07-25,Totaal,193.0
2020-07-25,Ziekenhuisopname,
2020-07-25,Overleden,0.0
2020-07-26,Totaal,201.0
2020-07-26,Ziekenhuisopname,
2020-07-26,Overleden,1.0
2020-07-27,Totaal,202.0
2020-07-27,Ziekenhuisopname,
2020-07-27,Overleden,4.0
2020-07-28,Totaal,235.0
2020-07-28,Ziekenhuisopname,
2020-07-28,Overleden,2.0
2020-07-29,Totaal,348.0
2020-07-29,Ziekenhuisopname,
2020-07-29,Overleden,1.0
2020-07-30,Totaal,343.0
2020-07-30,Ziekenhuisopname,
2020-07-30,Overleden,1.0
2020-07-31,Totaal,554.0
2020-07-31,Ziekenhuisopname,
2020-07-31,Overleden,1.0
2020-08-01,Totaal,366.0
2020-08-01,Ziekenhuisopname,
2020-08-01,Overleden,0.0
2020-08-02,Totaal,336.0
2020-08-02,Ziekenhuisopname,
2020-08-02,Overleden,0.0
2020-08-03,Totaal,472.0
2020-08-03,Ziekenhuisopname,
2020-08-03,Overleden,0.0
2020-08-04,Totaal,491.0
2020-08-04,Ziekenhuisopname,
2020-08-04,Overleden,0.0
2020-08-05,Totaal,669.0
2020-08-05,Ziekenhuisopname,
2020-08-05,Overleden,2.0
2020-08-06,Totaal,539.0
2020-08-06,Ziekenhuisopname,
2020-08-06,Overleden,0.0
2020-08-07,Totaal,563.0
2020-08-07,Ziekenhuisopname,
2020-08-07,Overleden,0.0
2020-08-08,Totaal,627.0
2020-08-08,Ziekenhuisopname,
2020-08-08,Overleden,1.0
2020-08-09,Totaal,571.0
2020-08-09,Ziekenhuisopname,
2020-08-09,Overleden,2.0
2020-08-10,Totaal,529.0
2020-08-10,Ziekenhuisopname,
2020-08-10,Overleden,5.0
2020-08-11,Totaal,681.0
2020-08-11,Ziekenhuisopname,
2020-08-11,Overleden,3.0
2020-08-12,Totaal,604.0
2020-08-12,Ziekenhuisopname,
2020-08-12,Overleden,3.0
2020-08-13,Totaal,685.0
2020-08-13,Ziekenhuisopname,
2020-08-13,Overleden,4.0
2020-08-14,Totaal,591.0
2020-08-14,Ziekenhuisopname,
2020-08-14,Overleden,4.0
2020-08-15,Totaal,546.0
2020-08-15,Ziekenhuisopname,
2020-08-15,Overleden,5.0
2020-08-16,Totaal,438.0
2020-08-16,Ziekenhuisopname,
2020-08-16,Overleden,2.0
2020-08-17,Totaal,431.0
2020-08-17,Ziekenhuisopname,
2020-08-17,Overleden,5.0
2020-08-18,Totaal,564.0
2020-08-18,Ziekenhuisopname,
2020-08-18,Overleden,3.0
2020-08-19,Totaal,577.0
2020-08-19,Ziekenhuisopname,
2020-08-19,Overleden,2.0
2020-08-20,Totaal,503.0
