"GGD-meldingsdatum";"nieuw";"t/m afgelopen week"
"24 okt 2020";0;11116
"25 okt 2020";1;9403
"26 okt 2020";0;10330
"27 okt 2020";0;9108
"28 okt 2020";0;9407
"29 okt 2020";0;10350
"30 okt 2020";0;8823
"31 okt 2020";0;7710
"1 nov 2020";0;7480
"2 nov 2020";0;6912
"3 nov 2020";0;7857
"4 nov 2020";0;7161
"5 nov 2020";0;6703
"6 nov 2020";0;6065
"7 nov 2020";0;5191
"8 nov 2020";1;4416
"9 nov 2020";0;4806
"10 nov 2020";0;5757
"11 nov 2020";1;6175
"12 nov 2020";1;6178
"13 nov 2020";0;5625
"14 nov 2020";0;4959
"15 nov 2020";0;4159
"16 nov 2020";0;4726
"17 nov 2020";0;4774
"18 nov 2020";0;6156
"19 nov 2020";1;6085
"20 nov 2020";1;5735
"21 nov 2020";0;5136
"22 nov 2020";0;4159
"23 nov 2020";0;4113
"24 nov 2020";0;5153
"25 nov 2020";0;4945
"26 nov 2020";0;5673
"27 nov 2020";2;4637
"28 nov 2020";1;4946
"29 nov 2020";0;3917
"30 nov 2020";0;4346
"1 dec 2020";0;5466
"2 dec 2020";1;6056
"3 dec 2020";2;6346
"4 dec 2020";4;7152
"5 dec 2020";4;6562
"6 dec 2020";0;6145
"7 dec 2020";1;6673
"8 dec 2020";4;7530
"9 dec 2020";1;8670
"10 dec 2020";1;9607
"11 dec 2020";1;9931
"12 dec 2020";2;9143
"13 dec 2020";4;8453
"14 dec 2020";2;9271
"15 dec 2020";7;11158
"16 dec 2020";3;11129
"17 dec 2020";1;12488
"18 dec 2020";1;11332
"19 dec 2020";3;12374
"20 dec 2020";4;10228
"21 dec 2020";2;9767
"22 dec 2020";4;11182
"23 dec 2020";6;11456
"24 dec 2020";11;11625
"25 dec 2020";4;8600
"26 dec 2020";5;7480
"27 dec 2020";4;6942
"28 dec 2020";5;8064
"29 dec 2020";14;9723
"30 dec 2020";14;9430
"31 dec 2020";33;9498
"1 jan 2021";31;6525
"2 jan 2021";52;6337
"3 jan 2021";187;6193
"4 jan 2021";2049;5205
"5 jan 2021";7221;848
"6 jan 2021";8919;1
"7 jan 2021";7835;5
"8 jan 2021";7272;3
"9 jan 2021";5982;1
"10 jan 2021";4866;2
"11 jan 2021";4017;0
"12 jan 2021";805;0
