"Datum ziekenhuisopname";"nieuw";"t/m afgelopen week"
"29 aug";4;
"30 aug";12;
"31 aug";17;
"1 sep";14;
"2 sep";16;
"3 sep";12;
"4 sep";19;
"5 sep";19;
"6 sep";22;
"7 sep";30;
"8 sep";24;
"9 sep";36;
"10 sep";20;
"11 sep";42;
"12 sep";25;
"13 sep";27;
"14 sep";59;
"15 sep";42;
"16 sep";47;
"17 sep";54;
"18 sep";77;
"19 sep";68;
"20 sep";56;
"21 sep";88;
"22 sep";76;
"23 sep";95;
"24 sep";108;
"25 sep";98;
"26 sep";85;
"27 sep";89;
"28 sep";114;
"29 sep";110;
"30 sep";119;
"1 okt";112;
"2 okt";123;
"3 okt";145;
"4 okt";117;
"5 okt";181;
"6 okt";172;
"7 okt";165;
"8 okt";162;
"9 okt";213;
"10 okt";158;
"11 okt";168;
"12 okt";256;
"13 okt";258;
"14 okt";217;
"15 okt";224;
"16 okt";248;
"17 okt";219;
"18 okt";199;
"19 okt";306;
"20 okt";255;
"21 okt";291;
"22 okt";290;
"23 okt";328;
"24 okt";213;
"25 okt";266;
"26 okt";350;
"27 okt";306;
"28 okt";302;
"29 okt";276;
"30 okt";297;
"31 okt";225;
"1 nov";236;
"2 nov";399;
"3 nov";239;
"4 nov";245;
"5 nov";246;
"6 nov";242;
"7 nov";161;
"8 nov";170;
"9 nov";296;
"10 nov";225;
"11 nov";235;
"12 nov";212;
"13 nov";237;
"14 nov";138;
"15 nov";154;
"16 nov";249;
"17 nov";198;
"18 nov";197;
"19 nov";187;
"20 nov";175;
"21 nov";143;
"22 nov";167;
"23 nov";212;
"24 nov";163;
"25 nov";164;
"26 nov";189;
"27 nov";168;
"28 nov";100;
"29 nov";123;
"30 nov";162;
"1 dec";160;
"2 dec";165;
"3 dec";187;
"4 dec";200;
"5 dec";154;
"6 dec";141;
"7 dec";218;
"8 dec";183;
"9 dec";179;
"10 dec";203;
"11 dec";248;
"12 dec";159;
"13 dec";181;
"14 dec";263;
"15 dec";217;
"16 dec";250;
"17 dec";274;
"18 dec";284;
"19 dec";194;
"20 dec";202;
"21 dec";310;
"22 dec";270;
"23 dec";285;
"24 dec";296;
"25 dec";236;
"26 dec";240;
"27 dec";255;
"28 dec";430;
"29 dec";244;
"30 dec";248;
"31 dec";219;
"1 jan";188;
"2 jan";203;
"3 jan";181;
"4 jan";69;
