Gemnr;Gemeente;Meldingen;Zkh opname;BevAant;Meldingen per 100.000;Zkh opname per 100.000
569;Nieuwkoop;27;7;28809;93.7;24.3
267;Nijkerk;37;19;43176;85.7;44
268;Nijmegen;336;100;177698;189.1;56.3
1930;Nissewaard;85;28;85237;99.7;32.8
1970;Noardeast-Fryslân;11;4;45251;24.3;8.8
1695;Noord-Beveland;4;1;7395;54.1;13.5
1699;Noordenveld;9;2;31242;28.8;6.4
171;Noordoostpolder;20;8;47262;42.3;16.9
575;Noordwijk;25;11;43528;57.4;25.3
820;Nuenen, Gerwen en Nederwetten;23;12;23379;98.4;51.3
302;Nunspeet;87;26;27845;312.4;93.4
579;Oegstgeest;23;5;24843;92.6;20.1
823;Oirschot;34;9;18723;181.6;48.1
824;Oisterwijk;41;16;26241;156.2;61
1895;Oldambt;4;1;38213;10.5;2.6
269;Oldebroek;63;18;23645;266.4;76.1
173;Oldenzaal;30;13;31832;94.2;40.8
1773;Olst-Wijhe;26;9;18251;142.5;49.3
175;Ommen;27;7;18007;149.9;38.9
1586;Oost Gelre;27;4;29623;91.1;13.5
826;Oosterhout;62;29;55990;110.7;51.8
85;Ooststellingwerf;2;1;25472;7.9;3.9
431;Oostzaan;17;8;9733;174.7;82.2
432;Opmeer;4;1;11837;33.8;8.4
86;Opsterland;13;5;29742;43.7;16.8
828;Oss;276;108;91932;300.2;117.5
1509;Oude IJsselstreek;26;6;39392;66;15.2
437;Ouder-Amstel;17;4;14029;121.2;28.5
589;Oudewater;37;20;10226;361.8;195.6
1734;Overbetuwe;80;49;47909;167;102.3
590;Papendrecht;30;5;32133;93.4;15.6
1894;Peel en Maas;201;129;43420;462.9;297.1
765;Pekela;4;4;12199;32.8;32.8
1926;Pijnacker-Nootdorp;44;15;55329;79.5;27.1
439;Purmerend;119;54;81233;146.5;66.5
273;Putten;14;3;24113;58.1;12.4
177;Raalte;40;20;37709;106.1;53
703;Reimerswaal;15;4;22728;66;17.6
274;Renkum;35;13;31404;111.5;41.4
339;Renswoude;9;4;5448;165.2;73.4
1667;Reusel-De Mierden;13;7;13110;99.2;53.4
275;Rheden;49;29;43736;112;66.3
340;Rhenen;12;3;20125;59.6;14.9
597;Ridderkerk;60;28;46204;129.9;60.6
1742;Rijssen-Holten;60;19;38178;157.2;49.8
603;Rijswijk;39;15;54432;71.6;27.6
1669;Roerdalen;34;24;20572;165.3;116.7
957;Roermond;80;42;58254;137.3;72.1
1674;Roosendaal;87;15;77226;112.7;19.4
599;Rotterdam;947;239;651376;145.4;36.7
277;Rozendaal;2;1;1705;117.3;58.7
840;Rucphen;24;6;22873;104.9;26.2
518;s-Gravenhage;472;167;545163;86.6;30.6
441;Schagen;47;14;46482;101.1;30.1
279;Scherpenzeel;13;2;9880;131.6;20.2
606;Schiedam;64;30;78739;81.3;38.1
88;Schiermonnikoog;0;0;947;0;0
1676;Schouwen-Duiveland;20;9;33858;59.1;26.6
965;Simpelveld;25;16;10552;236.9;151.6
1702;Sint Anthonis;47;17;11672;402.7;145.6
845;Sint-Michielsgestel;52;21;29203;178.1;71.9
1883;Sittard-Geleen;183;81;92422;198;87.6
610;Sliedrecht;24;6;25217;95.2;23.8
1714;Sluis;11;6;23217;47.4;25.8
90;Smallingerland;19;6;56154;33.8;10.7
342;Soest;54;17;46607;115.9;36.5
847;Someren;51;20;19376;263.2;103.2
848;Son en Breugel;45;23;17321;259.8;132.8
37;Stadskanaal;2;1;31688;6.3;3.2
