Gemnr;Gemeente;Bev_2020;van_datum;tot_datum;Totaal_Absoluut;Totaal_inc100000;Zkh_Absoluut;Zkh_inc100000;Overleden_Absoluut;Overleden_inc100000
158;Haaksbergen;24309;10-06-2020;23-06-2020;0;0;0;0;0;0
788;Haaren;14371;10-06-2020;23-06-2020;0;0;0;0;0;0
392;Haarlem;162961;10-06-2020;23-06-2020;9;5,5;0;0;0;0
394;Haarlemmermeer;156039;10-06-2020;23-06-2020;5;3,2;0;0;0;0
1655;Halderberge;30277;10-06-2020;23-06-2020;1;3,3;0;0;0;0
160;Hardenberg;60940;10-06-2020;23-06-2020;0;0;0;0;0;0
243;Harderwijk;48429;10-06-2020;23-06-2020;6;12,4;0;0;1;2,1
523;Hardinxveld-Giessendam;18295;10-06-2020;23-06-2020;0;0;0;0;0;0
72;Harlingen;15720;10-06-2020;23-06-2020;0;0;0;0;0;0
244;Hattem;12213;10-06-2020;23-06-2020;1;8,2;0;0;0;0
396;Heemskerk;39188;10-06-2020;23-06-2020;6;15,3;0;0;0;0
397;Heemstede;27239;10-06-2020;23-06-2020;4;14,7;0;0;0;0
246;Heerde;18587;10-06-2020;23-06-2020;1;5,4;0;0;0;0
74;Heerenveen;50494;10-06-2020;23-06-2020;0;0;0;0;0;0
398;Heerhugowaard;57592;10-06-2020;23-06-2020;1;1,7;0;0;0;0
917;Heerlen;87057;10-06-2020;23-06-2020;5;5,7;0;0;0;0
1658;Heeze-Leende;16150;10-06-2020;23-06-2020;8;49,5;0;0;0;0
399;Heiloo;23974;10-06-2020;23-06-2020;0;0;0;0;0;0
163;Hellendoorn;35923;10-06-2020;23-06-2020;0;0;0;0;0;0
530;Hellevoetsluis;40158;10-06-2020;23-06-2020;3;7,5;0;0;0;0
794;Helmond;92432;10-06-2020;23-06-2020;24;26;0;0;0;0
531;Hendrik-Ido-Ambacht;31204;10-06-2020;23-06-2020;1;3,2;0;0;0;0
164;Hengelo;81147;10-06-2020;23-06-2020;4;4,9;0;0;0;0
1966;Het Hogeland;47834;10-06-2020;23-06-2020;2;4,2;0;0;0;0
252;Heumen;16450;10-06-2020;23-06-2020;1;6,1;0;0;0;0
