Gemnr;Gemeente;Meldingen;Zkh opname;Overleden;BevAant;Meldingen per 100.000;Zkh opname per 100.000;Overleden per 100.000
281;Tiel;84;37;14;42161;199.2;87.8;33.2
855;Tilburg;573;163;120;219800;260.7;74.2;54.6
183;Tubbergen;70;10;3;21279;329;47;14.1
1700;Twenterand;45;11;2;33743;133.4;32.6;5.9
1730;Tynaarlo;36;8;0;33879;106.3;23.6;0
737;Tytsjerksteradiel;15;4;1;32046;46.8;12.5;3.1
856;Uden;226;90;57;42122;536.5;213.7;135.3
450;Uitgeest;21;5;1;13649;153.9;36.6;7.3
451;Uithoorn;42;16;1;29466;142.5;54.3;3.4
184;Urk;57;19;4;21033;271;90.3;19
344;Utrecht;659;203;64;357694;184.2;56.8;17.9
1581;Utrechtse Heuvelrug;80;24;6;49601;161.3;48.4;12.1
981;Vaals;27;9;1;10099;267.4;89.1;9.9
994;Valkenburg aan de Geul;57;16;6;16360;348.4;97.8;36.7
858;Valkenswaard;116;15;26;31200;371.8;48.1;83.3
47;Veendam;8;2;0;27387;29.2;7.3;0
345;Veenendaal;107;37;9;66491;160.9;55.6;13.5
717;Veere;24;6;1;21885;109.7;27.4;4.6
861;Veldhoven;106;25;15;45458;233.2;55;33
453;Velsen;223;28;25;68660;324.8;40.8;36.4
983;Venlo;248;118;49;101797;243.6;115.9;48.1
984;Venray;92;36;16;43604;211;82.6;36.7
1961;Vijfheerenlanden;183;27;31;56816;322.1;47.5;54.6
622;Vlaardingen;167;30;14;73445;227.4;40.8;19.1
96;Vlieland;0;0;0;1152;0;0;0
718;Vlissingen;45;8;4;44365;101.4;18;9
986;Voerendaal;36;16;6;12471;288.7;128.3;48.1
626;Voorschoten;29;9;4;25603;113.3;35.2;15.6
285;Voorst;52;11;7;24546;211.8;44.8;28.5
865;Vught;87;37;15;26554;327.6;139.3;56.5
1949;Waadhoeke;75;9;7;46079;162.8;19.5;15.2
866;Waalre;24;6;4;17454;137.5;34.4;22.9
867;Waalwijk;118;23;24;48620;242.7;47.3;49.4
627;Waddinxveen;43;14;5;29293;146.8;47.8;17.1
289;Wageningen;39;18;8;39673;98.3;45.4;20.2
629;Wassenaar;38;8;9;26214;145;30.5;34.3
852;Waterland;25;14;2;17422;143.5;80.4;11.5
988;Weert;106;57;10;50107;211.5;113.8;20
457;Weesp;36;9;1;19729;182.5;45.6;5.1
1960;West Betuwe;134;38;13;51198;261.7;74.2;25.4
668;West Maas en Waal;68;16;5;19320;352;82.8;25.9
1969;Westerkwartier;53;14;4;63375;83.6;22.1;6.3
1701;Westerveld;28;8;2;19460;143.9;41.1;10.3
293;Westervoort;28;10;3;14973;187;66.8;20
1950;Westerwolde;5;5;0;25796;19.4;19.4;0
1783;Westland;206;48;21;110357;186.7;43.5;19
98;Weststellingwerf;21;2;2;25916;81;7.7;7.7
614;Westvoorne;22;6;0;14728;149.4;40.7;0
189;Wierden;37;4;3;24440;151.4;16.4;12.3
296;Wijchen;114;38;7;41124;277.2;92.4;17
1696;Wijdemeren;21;7;0;24360;86.2;28.7;0
352;Wijk bij Duurstede;25;8;1;23910;104.6;33.5;4.2
294;Winterswijk;26;3;1;28865;90.1;10.4;3.5
873;Woensdrecht;46;4;0;21883;210.2;18.3;0
632;Woerden;120;46;15;52294;229.5;88;28.7
880;Wormerland;35;16;6;16299;214.7;98.2;36.8
351;Woudenberg;22;9;1;13362;164.6;67.4;7.5
479;Zaanstad;281;101;35;156711;179.3;64.4;22.3
297;Zaltbommel;58;18;4;28901;200.7;62.3;13.8
473;Zandvoort;29;10;6;17116;169.4;58.4;35.1
50;Zeewolde;26;8;3;22656;114.8;35.3;13.2
355;Zeist;112;34;13;64932;172.5;52.4;20
299;Zevenaar;77;42;10;43740;176;96;22.9
637;Zoetermeer;143;38;9;125283;114.1;30.3;7.2
638;Zoeterwoude;7;2;0;8611;81.3;23.2;0
1892;Zuidplas;97;19;5;43894;221;43.3;11.4
879;Zundert;57;19;8;21821;261.2;87.1;36.7
301;Zutphen;54;18;8;47942;112.6;37.5;16.7
1896;Zwartewaterland;119;32;12;22690;524.5;141;52.9
642;Zwijndrecht;93;14;5;44741;207.9;31.3;11.2
193;Zwolle;289;52;34;128831;224.3;40.4;26.4
