report_date,date,province,value
2020-03-31,2020-03-10,Friesland,1
2020-03-31,2020-03-11,Friesland,4
2020-03-31,2020-03-12,Friesland,1
2020-03-31,2020-03-13,Friesland,2
2020-03-31,2020-03-14,Friesland,1
2020-03-31,2020-03-15,Friesland,3
2020-03-31,2020-03-16,Friesland,3
2020-03-31,2020-03-17,Friesland,3
2020-03-31,2020-03-18,Friesland,3
2020-03-31,2020-03-19,Friesland,6
2020-03-31,2020-03-20,Friesland,5
2020-03-31,2020-03-21,Friesland,1
2020-03-31,2020-03-22,Friesland,5
2020-03-31,2020-03-23,Friesland,2
2020-03-31,2020-03-24,Friesland,10
2020-03-31,2020-03-25,Friesland,18
2020-03-31,2020-03-26,Friesland,15
2020-03-31,2020-03-27,Friesland,14
2020-03-31,2020-03-28,Friesland,22
2020-03-31,2020-03-29,Friesland,4
2020-03-31,2020-03-30,Friesland,4
2020-03-31,2020-03-31,Friesland,1
2020-03-31,2020-02-27,Gelderland,0
2020-03-31,2020-02-28,Gelderland,0
2020-03-31,2020-02-29,Gelderland,0
2020-03-31,2020-03-01,Gelderland,0
2020-03-31,2020-03-02,Gelderland,3
2020-03-31,2020-03-03,Gelderland,1
2020-03-31,2020-03-04,Gelderland,3
2020-03-31,2020-03-05,Gelderland,5
2020-03-31,2020-03-06,Gelderland,1
2020-03-31,2020-03-07,Gelderland,10
2020-03-31,2020-03-08,Gelderland,4
2020-03-31,2020-03-09,Gelderland,8
2020-03-31,2020-03-10,Gelderland,7
2020-03-31,2020-03-11,Gelderland,13
2020-03-31,2020-03-12,Gelderland,15
2020-03-31,2020-03-13,Gelderland,25
2020-03-31,2020-03-14,Gelderland,39
2020-03-31,2020-03-15,Gelderland,26
2020-03-31,2020-03-16,Gelderland,34
2020-03-31,2020-03-17,Gelderland,43
2020-03-31,2020-03-18,Gelderland,45
2020-03-31,2020-03-19,Gelderland,49
2020-03-31,2020-03-20,Gelderland,86
2020-03-31,2020-03-21,Gelderland,60
2020-03-31,2020-03-22,Gelderland,65
2020-03-31,2020-03-23,Gelderland,76
2020-03-31,2020-03-24,Gelderland,114
2020-03-31,2020-03-25,Gelderland,150
2020-03-31,2020-03-26,Gelderland,112
2020-03-31,2020-03-27,Gelderland,175
2020-03-31,2020-03-28,Gelderland,124
2020-03-31,2020-03-29,Gelderland,95
2020-03-31,2020-03-30,Gelderland,82
2020-03-31,2020-03-31,Gelderland,5
2020-03-31,2020-02-27,Noord-Holland,2
2020-03-31,2020-02-28,Noord-Holland,0
2020-03-31,2020-02-29,Noord-Holland,0
2020-03-31,2020-03-01,Noord-Holland,2
2020-03-31,2020-03-02,Noord-Holland,1
2020-03-31,2020-03-03,Noord-Holland,7
2020-03-31,2020-03-04,Noord-Holland,4
2020-03-31,2020-03-05,Noord-Holland,2
2020-03-31,2020-03-06,Noord-Holland,1
2020-03-31,2020-03-07,Noord-Holland,3
2020-03-31,2020-03-08,Noord-Holland,0
2020-03-31,2020-03-09,Noord-Holland,9
2020-03-31,2020-03-10,Noord-Holland,11
2020-03-31,2020-03-11,Noord-Holland,30
2020-03-31,2020-03-12,Noord-Holland,21
2020-03-31,2020-03-13,Noord-Holland,25
2020-03-31,2020-03-14,Noord-Holland,28
2020-03-31,2020-03-15,Noord-Holland,35
2020-03-31,2020-03-16,Noord-Holland,22
2020-03-31,2020-03-17,Noord-Holland,49
2020-03-31,2020-03-18,Noord-Holland,66
2020-03-31,2020-03-19,Noord-Holland,72
2020-03-31,2020-03-20,Noord-Holland,105
2020-03-31,2020-03-21,Noord-Holland,76
2020-03-31,2020-03-22,Noord-Holland,72
2020-03-31,2020-03-23,Noord-Holland,134
2020-03-31,2020-03-24,Noord-Holland,202
2020-03-31,2020-03-25,Noord-Holland,166
2020-03-31,2020-03-26,Noord-Holland,155
2020-03-31,2020-03-27,Noord-Holland,147
2020-03-31,2020-03-28,Noord-Holland,138
2020-03-31,2020-03-29,Noord-Holland,146
2020-03-31,2020-03-30,Noord-Holland,86
2020-03-31,2020-03-31,Noord-Holland,28
2020-03-31,2020-02-27,Zuid-Holland,0
2020-03-31,2020-02-28,Zuid-Holland,1
2020-03-31,2020-02-29,Zuid-Holland,0
2020-03-31,2020-03-01,Zuid-Holland,2
2020-03-31,2020-03-02,Zuid-Holland,10
2020-03-31,2020-03-03,Zuid-Holland,6
2020-03-31,2020-03-04,Zuid-Holland,3
2020-03-31,2020-03-05,Zuid-Holland,6
2020-03-31,2020-03-06,Zuid-Holland,5
2020-03-31,2020-03-07,Zuid-Holland,9
2020-03-31,2020-03-08,Zuid-Holland,3
2020-03-31,2020-03-09,Zuid-Holland,3
2020-03-31,2020-03-10,Zuid-Holland,17
2020-03-31,2020-03-11,Zuid-Holland,12
2020-03-31,2020-03-12,Zuid-Holland,19
2020-03-31,2020-03-13,Zuid-Holland,23
2020-03-31,2020-03-14,Zuid-Holland,22
2020-03-31,2020-03-15,Zuid-Holland,23
2020-03-31,2020-03-16,Zuid-Holland,39
2020-03-31,2020-03-17,Zuid-Holland,52
2020-03-31,2020-03-18,Zuid-Holland,71
2020-03-31,2020-03-19,Zuid-Holland,73
2020-03-31,2020-03-20,Zuid-Holland,102
2020-03-31,2020-03-21,Zuid-Holland,98
2020-03-31,2020-03-22,Zuid-Holland,60
2020-03-31,2020-03-23,Zuid-Holland,100
2020-03-31,2020-03-24,Zuid-Holland,126
2020-03-31,2020-03-25,Zuid-Holland,191
2020-03-31,2020-03-26,Zuid-Holland,205
2020-03-31,2020-03-27,Zuid-Holland,249
