Datum,LeeftijdGroep,Geslacht,Aantal,AantalCumulatief
2020-04-19,65-69,Vrouw,-3,71
2020-04-19,70-74,Vrouw,-7,151
2020-04-19,75-79,Vrouw,-18,217
2020-04-19,80-84,Vrouw,-17,319
2020-04-19,85-89,Vrouw,-24,331
2020-04-19,90-94,Vrouw,-21,250
2020-04-19,95+,Vrouw,-10,103
2020-04-19,0-4,Man,0,0
2020-04-19,5-9,Man,0,0
2020-04-19,10-14,Man,0,0
2020-04-19,15-19,Man,0,1
2020-04-19,20-24,Man,0,0
2020-04-19,25-29,Man,0,3
2020-04-19,30-34,Man,0,1
2020-04-19,35-39,Man,0,3
2020-04-19,40-44,Man,0,4
2020-04-19,45-49,Man,0,3
2020-04-19,50-54,Man,0,18
2020-04-19,55-59,Man,-4,41
2020-04-19,60-64,Man,-5,71
2020-04-19,65-69,Man,-4,154
2020-04-19,70-74,Man,-20,254
2020-04-19,75-79,Man,-23,462
2020-04-19,80-84,Man,-26,489
2020-04-19,85-89,Man,-22,455
2020-04-19,90-94,Man,-20,169
2020-04-19,95+,Man,-6,41
2020-04-25,0-4,Vrouw,0,0
2020-04-25,5-9,Vrouw,0,0
2020-04-25,10-14,Vrouw,0,0
2020-04-25,15-19,Vrouw,0,0
2020-04-25,20-24,Vrouw,0,0
2020-04-25,25-29,Vrouw,0,0
2020-04-25,30-34,Vrouw,0,1
2020-04-25,35-39,Vrouw,0,1
2020-04-25,40-44,Vrouw,0,0
2020-04-25,45-49,Vrouw,4,10
2020-04-25,50-54,Vrouw,1,14
2020-04-25,55-59,Vrouw,4,19
2020-04-25,60-64,Vrouw,2,38
2020-04-25,65-69,Vrouw,17,88
2020-04-25,70-74,Vrouw,30,181
2020-04-25,75-79,Vrouw,42,259
2020-04-25,80-84,Vrouw,59,378
2020-04-25,85-89,Vrouw,93,424
2020-04-25,90-94,Vrouw,68,318
2020-04-25,95+,Vrouw,28,131
2020-04-25,0-4,Man,0,0
2020-04-25,5-9,Man,0,0
2020-04-25,10-14,Man,0,0
2020-04-25,15-19,Man,0,1
2020-04-25,20-24,Man,0,0
2020-04-25,25-29,Man,0,3
2020-04-25,30-34,Man,1,2
2020-04-25,35-39,Man,1,4
2020-04-25,40-44,Man,0,4
2020-04-25,45-49,Man,2,5
2020-04-25,50-54,Man,0,18
2020-04-25,55-59,Man,13,54
2020-04-25,60-64,Man,12,83
2020-04-25,65-69,Man,16,170
2020-04-25,70-74,Man,46,300
2020-04-25,75-79,Man,71,533
2020-04-25,80-84,Man,71,560
2020-04-25,85-89,Man,74,529
2020-04-25,90-94,Man,57,226
2020-04-25,95+,Man,13,54
2020-06-08,0-4,Vrouw,0,0
2020-06-08,5-9,Vrouw,0,0
2020-06-08,10-14,Vrouw,0,0
2020-06-08,15-19,Vrouw,0,0
2020-06-08,20-24,Vrouw,0,0
2020-06-08,25-29,Vrouw,0,0
2020-06-08,30-34,Vrouw,0,1
2020-06-08,35-39,Vrouw,1,2
2020-06-08,40-44,Vrouw,0,0
2020-06-08,45-49,Vrouw,4,14
2020-06-08,50-54,Vrouw,6,20
2020-06-08,55-59,Vrouw,5,24
2020-06-08,60-64,Vrouw,13,51
2020-06-08,65-69,Vrouw,25,113
2020-06-08,70-74,Vrouw,61,242
2020-06-08,75-79,Vrouw,79,338
2020-06-08,80-84,Vrouw,138,516
2020-06-08,85-89,Vrouw,231,655
2020-06-08,90-94,Vrouw,179,497
2020-06-08,95+,Vrouw,93,224
2020-06-08,0-4,Man,0,0
2020-06-08,5-9,Man,0,0
2020-06-08,10-14,Man,0,0
2020-06-08,15-19,Man,0,1
2020-06-08,20-24,Man,0,0
2020-06-08,25-29,Man,0,3
2020-06-08,30-34,Man,1,3
2020-06-08,35-39,Man,1,5
2020-06-08,40-44,Man,1,5
