Datum,Type,Aantal,AantalCumulatief
2020-06-02,Overleden besmette bewoners,4,2827
2020-06-03,Positief geteste bewoners,7,8339
2020-06-03,Overleden besmette bewoners,2,2829
2020-06-04,Positief geteste bewoners,18,8357
2020-06-04,Overleden besmette bewoners,6,2835
2020-06-05,Positief geteste bewoners,17,8374
2020-06-05,Overleden besmette bewoners,6,2841
2020-06-06,Positief geteste bewoners,5,8379
2020-06-06,Overleden besmette bewoners,3,2844
2020-06-07,Positief geteste bewoners,4,8383
2020-06-07,Overleden besmette bewoners,8,2852
2020-06-08,Positief geteste bewoners,7,8390
2020-06-08,Overleden besmette bewoners,0,2852
2020-06-09,Positief geteste bewoners,12,8402
2020-06-09,Overleden besmette bewoners,1,2853
2020-06-10,Positief geteste bewoners,9,8411
2020-06-10,Overleden besmette bewoners,3,2856
2020-06-11,Positief geteste bewoners,10,8421
2020-06-11,Overleden besmette bewoners,3,2859
2020-06-12,Positief geteste bewoners,7,8428
2020-06-12,Overleden besmette bewoners,4,2863
2020-06-13,Positief geteste bewoners,5,8433
2020-06-13,Overleden besmette bewoners,1,2864
2020-06-14,Positief geteste bewoners,4,8437
2020-06-14,Overleden besmette bewoners,2,2866
2020-06-15,Positief geteste bewoners,5,8442
2020-06-15,Overleden besmette bewoners,1,2867
2020-06-16,Positief geteste bewoners,2,8444
2020-06-16,Overleden besmette bewoners,1,2868
2020-06-17,Positief geteste bewoners,3,8447
2020-06-17,Overleden besmette bewoners,1,2869
2020-06-18,Positief geteste bewoners,3,8450
2020-06-18,Overleden besmette bewoners,4,2873
2020-06-19,Positief geteste bewoners,6,8456
2020-06-19,Overleden besmette bewoners,0,2873
2020-06-20,Positief geteste bewoners,2,8458
2020-06-20,Overleden besmette bewoners,0,2873
2020-06-21,Positief geteste bewoners,1,8459
2020-06-21,Overleden besmette bewoners,3,2876
2020-06-22,Positief geteste bewoners,1,8460
2020-06-22,Overleden besmette bewoners,0,2876
2020-06-23,Positief geteste bewoners,3,8463
2020-06-23,Overleden besmette bewoners,1,2877
2020-06-24,Positief geteste bewoners,9,8472
2020-06-24,Overleden besmette bewoners,1,2878
2020-06-25,Positief geteste bewoners,7,8479
2020-06-25,Overleden besmette bewoners,0,2878
2020-06-26,Positief geteste bewoners,1,8480
2020-06-26,Overleden besmette bewoners,2,2880
2020-06-27,Positief geteste bewoners,3,8483
2020-06-27,Overleden besmette bewoners,1,2881
2020-06-28,Positief geteste bewoners,1,8484
2020-06-28,Overleden besmette bewoners,1,2882
2020-06-29,Positief geteste bewoners,8,8492
2020-06-29,Overleden besmette bewoners,1,2883
2020-06-30,Positief geteste bewoners,1,8493
2020-06-30,Overleden besmette bewoners,2,2885
2020-07-01,Positief geteste bewoners,2,8495
2020-07-01,Overleden besmette bewoners,1,2886
2020-07-02,Positief geteste bewoners,2,8497
2020-07-02,Overleden besmette bewoners,0,2886
2020-07-03,Positief geteste bewoners,3,8500
2020-07-03,Overleden besmette bewoners,3,2889
2020-07-04,Positief geteste bewoners,1,8501
2020-07-04,Overleden besmette bewoners,0,2889
2020-07-05,Positief geteste bewoners,1,8502
2020-07-05,Overleden besmette bewoners,3,2892
2020-07-06,Positief geteste bewoners,0,8502
2020-07-06,Overleden besmette bewoners,0,2892
2020-07-07,Positief geteste bewoners,0,8502
2020-07-07,Overleden besmette bewoners,2,2894
2020-07-08,Positief geteste bewoners,1,8503
2020-07-08,Overleden besmette bewoners,0,2894
2020-07-09,Positief geteste bewoners,0,8503
2020-07-09,Overleden besmette bewoners,0,2894
2020-07-10,Positief geteste bewoners,0,8503
2020-07-10,Overleden besmette bewoners,0,2894
2020-07-11,Positief geteste bewoners,0,8503
2020-07-11,Overleden besmette bewoners,0,2894
2020-07-12,Positief geteste bewoners,0,8503
2020-07-12,Overleden besmette bewoners,0,2894
2020-07-13,Positief geteste bewoners,0,8503
2020-07-13,Overleden besmette bewoners,0,2894
2020-07-14,Positief geteste bewoners,5,8508
2020-07-14,Overleden besmette bewoners,0,2894
2020-07-15,Positief geteste bewoners,1,8509
2020-07-15,Overleden besmette bewoners,2,2896
2020-07-16,Positief geteste bewoners,2,8511
2020-07-16,Overleden besmette bewoners,0,2896
2020-07-17,Positief geteste bewoners,6,8517
2020-07-17,Overleden besmette bewoners,1,2897
2020-07-18,Positief geteste bewoners,1,8518
2020-07-18,Overleden besmette bewoners,0,2897
2020-07-19,Positief geteste bewoners,2,8520
2020-07-19,Overleden besmette bewoners,1,2898
2020-07-20,Positief geteste bewoners,1,8521
2020-07-20,Overleden besmette bewoners,0,2898
2020-07-21,Positief geteste bewoners,3,8524
2020-07-21,Overleden besmette bewoners,0,2898
2020-07-22,Positief geteste bewoners,3,8527
2020-07-22,Overleden besmette bewoners,2,2900
2020-07-23,Positief geteste bewoners,3,8530
2020-07-23,Overleden besmette bewoners,1,2901
2020-07-24,Positief geteste bewoners,4,8534
2020-07-24,Overleden besmette bewoners,0,2901
2020-07-25,Positief geteste bewoners,2,8536
2020-07-25,Overleden besmette bewoners,0,2901
2020-07-26,Positief geteste bewoners,2,8538
2020-07-26,Overleden besmette bewoners,1,2902
2020-07-27,Positief geteste bewoners,2,8540
2020-07-27,Overleden besmette bewoners,4,2906
2020-07-28,Positief geteste bewoners,2,8542
2020-07-28,Overleden besmette bewoners,2,2908
2020-07-29,Positief geteste bewoners,1,8543
2020-07-29,Overleden besmette bewoners,0,2908
2020-07-30,Positief geteste bewoners,3,8546
2020-07-30,Overleden besmette bewoners,1,2909
2020-07-31,Positief geteste bewoners,5,8551
2020-07-31,Overleden besmette bewoners,0,2909
2020-08-01,Positief geteste bewoners,8,8559
2020-08-01,Overleden besmette bewoners,0,2909
2020-08-02,Positief geteste bewoners,1,8560
2020-08-02,Overleden besmette bewoners,0,2909
2020-08-03,Positief geteste bewoners,4,8564
2020-08-03,Overleden besmette bewoners,0,2909
2020-08-04,Positief geteste bewoners,7,8571
2020-08-04,Overleden besmette bewoners,0,2909
2020-08-05,Positief geteste bewoners,9,8580
2020-08-05,Overleden besmette bewoners,1,2910
2020-08-06,Positief geteste bewoners,4,8584
2020-08-06,Overleden besmette bewoners,0,2910
2020-08-07,Positief geteste bewoners,8,8592
2020-08-07,Overleden besmette bewoners,0,2910
2020-08-08,Positief geteste bewoners,3,8595
2020-08-08,Overleden besmette bewoners,1,2911
2020-08-09,Positief geteste bewoners,2,8597
2020-08-09,Overleden besmette bewoners,1,2912
2020-08-10,Positief geteste bewoners,13,8610
2020-08-10,Overleden besmette bewoners,3,2915
2020-08-11,Positief geteste bewoners,9,8619
2020-08-11,Overleden besmette bewoners,2,2917
2020-08-12,Positief geteste bewoners,2,8621
2020-08-12,Overleden besmette bewoners,2,2919
2020-08-13,Positief geteste bewoners,25,8646
2020-08-13,Overleden besmette bewoners,2,2921
2020-08-14,Positief geteste bewoners,14,8660
2020-08-14,Overleden besmette bewoners,2,2923
2020-08-15,Positief geteste bewoners,2,8662
2020-08-15,Overleden besmette bewoners,2,2925
2020-08-16,Positief geteste bewoners,6,8668
2020-08-16,Overleden besmette bewoners,2,2927
2020-08-17,Positief geteste bewoners,6,8674
