Datum,Type,Waarde
2020-05-05,Minimum,94.1
2020-05-05,Maximum,180.8
2020-05-05,Geschat aantal besmettelijke mensen,135.5
2020-05-06,Minimum,93.5
2020-05-06,Maximum,176.6
2020-05-06,Geschat aantal besmettelijke mensen,133.9
2020-05-07,Minimum,91.4
2020-05-07,Maximum,171.7
2020-05-07,Geschat aantal besmettelijke mensen,130.6
2020-05-08,Minimum,89.2
2020-05-08,Maximum,168.1
2020-05-08,Geschat aantal besmettelijke mensen,128.1
2020-05-09,Minimum,87.4
2020-05-09,Maximum,165.9
2020-05-09,Geschat aantal besmettelijke mensen,126.3
2020-05-10,Minimum,81.8
2020-05-10,Maximum,162.4
2020-05-10,Geschat aantal besmettelijke mensen,122.3
2020-05-11,Minimum,78.2
2020-05-11,Maximum,159.4
2020-05-11,Geschat aantal besmettelijke mensen,118.8
2020-05-12,Minimum,75.0
2020-05-12,Maximum,155.9
2020-05-12,Geschat aantal besmettelijke mensen,114.6
2020-05-13,Minimum,73.5
2020-05-13,Maximum,151.9
2020-05-13,Geschat aantal besmettelijke mensen,110.7
2020-05-14,Minimum,70.1
2020-05-14,Maximum,143.6
2020-05-14,Geschat aantal besmettelijke mensen,105.5
2020-05-15,Minimum,67.0
2020-05-15,Maximum,138.4
2020-05-15,Geschat aantal besmettelijke mensen,101.9
2020-05-16,Minimum,65.8
2020-05-16,Maximum,133.2
2020-05-16,Geschat aantal besmettelijke mensen,98.8
2020-05-17,Minimum,61.9
2020-05-17,Maximum,128.3
2020-05-17,Geschat aantal besmettelijke mensen,94.2
2020-05-18,Minimum,58.4
2020-05-18,Maximum,123.1
2020-05-18,Geschat aantal besmettelijke mensen,89.7
2020-05-19,Minimum,54.7
2020-05-19,Maximum,116.5
2020-05-19,Geschat aantal besmettelijke mensen,85.0
2020-05-20,Minimum,52.5
2020-05-20,Maximum,112.1
2020-05-20,Geschat aantal besmettelijke mensen,81.2
2020-05-21,Minimum,48.9
2020-05-21,Maximum,105.9
2020-05-21,Geschat aantal besmettelijke mensen,76.5
2020-05-22,Minimum,44.8
2020-05-22,Maximum,100.2
2020-05-22,Geschat aantal besmettelijke mensen,71.7
2020-05-23,Minimum,42.7
2020-05-23,Maximum,94.5
2020-05-23,Geschat aantal besmettelijke mensen,67.5
2020-05-24,Minimum,40.5
2020-05-24,Maximum,90.2
2020-05-24,Geschat aantal besmettelijke mensen,63.8
2020-05-25,Minimum,37.5
2020-05-25,Maximum,83.8
2020-05-25,Geschat aantal besmettelijke mensen,59.3
2020-05-26,Minimum,34.1
2020-05-26,Maximum,77.4
2020-05-26,Geschat aantal besmettelijke mensen,55.1
2020-05-27,Minimum,32.2
2020-05-27,Maximum,73.4
2020-05-27,Geschat aantal besmettelijke mensen,52.1
2020-05-28,Minimum,30.5
2020-05-28,Maximum,69.6
2020-05-28,Geschat aantal besmettelijke mensen,49.0
2020-05-29,Minimum,28.4
2020-05-29,Maximum,65.6
2020-05-29,Geschat aantal besmettelijke mensen,45.9
2020-05-30,Minimum,26.1
2020-05-30,Maximum,60.6
2020-05-30,Geschat aantal besmettelijke mensen,42.8
2020-05-31,Minimum,25.0
2020-05-31,Maximum,57.3
2020-05-31,Geschat aantal besmettelijke mensen,40.5
2020-06-01,Minimum,23.1
2020-06-01,Maximum,53.5
2020-06-01,Geschat aantal besmettelijke mensen,37.4
2020-06-02,Minimum,20.8
2020-06-02,Maximum,49.2
2020-06-02,Geschat aantal besmettelijke mensen,34.4
2020-06-03,Minimum,18.4
2020-06-03,Maximum,45.0
2020-06-03,Geschat aantal besmettelijke mensen,31.4
2020-06-04,Minimum,16.5
2020-06-04,Maximum,42.3
2020-06-04,Geschat aantal besmettelijke mensen,28.8
2020-06-05,Minimum,15.4
2020-06-05,Maximum,40.0
2020-06-05,Geschat aantal besmettelijke mensen,26.9
2020-06-06,Minimum,14.6
2020-06-06,Maximum,38.2
2020-06-06,Geschat aantal besmettelijke mensen,25.9
2020-06-07,Minimum,15.0
2020-06-07,Maximum,36.4
2020-06-07,Geschat aantal besmettelijke mensen,25.1
2020-06-08,Minimum,15.3
2020-06-08,Maximum,35.5
2020-06-08,Geschat aantal besmettelijke mensen,24.8
2020-06-09,Minimum,16.1
2020-06-09,Maximum,34.8
2020-06-09,Geschat aantal besmettelijke mensen,24.9
2020-06-10,Minimum,16.4
2020-06-10,Maximum,33.5
2020-06-10,Geschat aantal besmettelijke mensen,24.7
2020-06-11,Minimum,15.9
2020-06-11,Maximum,32.8
2020-06-11,Geschat aantal besmettelijke mensen,24.4
2020-06-12,Minimum,14.8
2020-06-12,Maximum,32.5
2020-06-12,Geschat aantal besmettelijke mensen,23.9
2020-06-13,Minimum,14.3
2020-06-13,Maximum,32.7
2020-06-13,Geschat aantal besmettelijke mensen,23.5
2020-06-14,Minimum,14.3
2020-06-14,Maximum,34.1
2020-06-14,Geschat aantal besmettelijke mensen,24.0
2020-06-15,Minimum,13.9
2020-06-15,Maximum,34.6
2020-06-15,Geschat aantal besmettelijke mensen,23.9
2020-06-16,Minimum,14.1
2020-06-16,Maximum,34.4
2020-06-16,Geschat aantal besmettelijke mensen,23.9
2020-06-17,Minimum,15.0
2020-06-17,Maximum,34.6
2020-06-17,Geschat aantal besmettelijke mensen,24.4
2020-06-18,Minimum,15.9
2020-06-18,Maximum,34.7
2020-06-18,Geschat aantal besmettelijke mensen,24.9
2020-06-19,Minimum,16.6
2020-06-19,Maximum,34.6
2020-06-19,Geschat aantal besmettelijke mensen,25.4
2020-06-20,Minimum,16.5
2020-06-20,Maximum,35.4
2020-06-20,Geschat aantal besmettelijke mensen,26.0
2020-06-21,Minimum,15.6
2020-06-21,Maximum,35.7
2020-06-21,Geschat aantal besmettelijke mensen,25.7
2020-06-22,Minimum,15.1
2020-06-22,Maximum,36.1
2020-06-22,Geschat aantal besmettelijke mensen,25.5
2020-06-23,Minimum,14.5
2020-06-23,Maximum,36.3
2020-06-23,Geschat aantal besmettelijke mensen,25.2
2020-06-24,Minimum,13.9
2020-06-24,Maximum,35.5
2020-06-24,Geschat aantal besmettelijke mensen,24.4
2020-06-25,Minimum,13.4
2020-06-25,Maximum,34.8
2020-06-25,Geschat aantal besmettelijke mensen,23.6
2020-06-26,Minimum,12.9
2020-06-26,Maximum,34.7
2020-06-26,Geschat aantal besmettelijke mensen,23.2
2020-06-27,Minimum,13.0
2020-06-27,Maximum,34.0
2020-06-27,Geschat aantal besmettelijke mensen,23.0
2020-06-28,Minimum,12.6
2020-06-28,Maximum,32.6
2020-06-28,Geschat aantal besmettelijke mensen,22.1
2020-06-29,Minimum,12.0
2020-06-29,Maximum,31.2
2020-06-29,Geschat aantal besmettelijke mensen,21.3
2020-06-30,Minimum,11.4
2020-06-30,Maximum,29.9
2020-06-30,Geschat aantal besmettelijke mensen,20.5
2020-07-01,Minimum,11.1
2020-07-01,Maximum,29.3
2020-07-01,Geschat aantal besmettelijke mensen,19.7
2020-07-02,Minimum,10.1
2020-07-02,Maximum,28.0
2020-07-02,Geschat aantal besmettelijke mensen,18.6
2020-07-03,Minimum,9.1
2020-07-03,Maximum,26.5
2020-07-03,Geschat aantal besmettelijke mensen,17.5
2020-07-04,Minimum,8.8
2020-07-04,Maximum,25.8
2020-07-04,Geschat aantal besmettelijke mensen,16.6
2020-07-05,Minimum,8.7
2020-07-05,Maximum,24.9
2020-07-05,Geschat aantal besmettelijke mensen,16.0
2020-07-06,Minimum,9.2
2020-07-06,Maximum,24.6
2020-07-06,Geschat aantal besmettelijke mensen,16.2
2020-07-07,Minimum,9.6
2020-07-07,Maximum,23.6
2020-07-07,Geschat aantal besmettelijke mensen,16.3
2020-07-08,Minimum,10.3
2020-07-08,Maximum,24.0
2020-07-08,Geschat aantal besmettelijke mensen,16.7
2020-07-09,Minimum,10.7
2020-07-09,Maximum,24.0
2020-07-09,Geschat aantal besmettelijke mensen,17.1
2020-07-10,Minimum,11.4
2020-07-10,Maximum,24.5
2020-07-10,Geschat aantal besmettelijke mensen,18.0
2020-07-11,Minimum,12.1
2020-07-11,Maximum,25.5
2020-07-11,Geschat aantal besmettelijke mensen,18.7
2020-07-12,Minimum,12.3
2020-07-12,Maximum,26.6
2020-07-12,Geschat aantal besmettelijke mensen,19.5
2020-07-13,Minimum,12.9
2020-07-13,Maximum,27.8
2020-07-13,Geschat aantal besmettelijke mensen,20.3
2020-07-14,Minimum,13.5
2020-07-14,Maximum,29.0
2020-07-14,Geschat aantal besmettelijke mensen,21.1
2020-07-15,Minimum,14.4
2020-07-15,Maximum,30.4
2020-07-15,Geschat aantal besmettelijke mensen,22.0
2020-07-16,Minimum,16.2
2020-07-16,Maximum,32.7
2020-07-16,Geschat aantal besmettelijke mensen,24.2
2020-07-17,Minimum,18.2
2020-07-17,Maximum,35.6
2020-07-17,Geschat aantal besmettelijke mensen,26.8
2020-07-18,Minimum,20.2
2020-07-18,Maximum,38.4
2020-07-18,Geschat aantal besmettelijke mensen,29.3
2020-07-19,Minimum,22.6
2020-07-19,Maximum,41.7
2020-07-19,Geschat aantal besmettelijke mensen,32.1
2020-07-20,Minimum,23.4
2020-07-20,Maximum,42.8
2020-07-20,Geschat aantal besmettelijke mensen,33.2
2020-07-21,Minimum,24.9
2020-07-21,Maximum,45.1
2020-07-21,Geschat aantal besmettelijke mensen,35.1
2020-07-22,Minimum,25.6
2020-07-22,Maximum,48.2
2020-07-22,Geschat aantal besmettelijke mensen,37.3
2020-07-23,Minimum,26.7
2020-07-23,Maximum,51.4
2020-07-23,Geschat aantal besmettelijke mensen,39.4
2020-07-24,Minimum,27.4
2020-07-24,Maximum,54.7
2020-07-24,Geschat aantal besmettelijke mensen,41.1
2020-07-25,Minimum,28.4
2020-07-25,Maximum,58.2
2020-07-25,Geschat aantal besmettelijke mensen,43.1
2020-07-26,Minimum,31.6
2020-07-26,Maximum,60.2
2020-07-26,Geschat aantal besmettelijke mensen,45.5
2020-07-27,Minimum,34.0
2020-07-27,Maximum,62.6
2020-07-27,Geschat aantal besmettelijke mensen,47.7
2020-07-28,Minimum,36.6
2020-07-28,Maximum,65.6
2020-07-28,Geschat aantal besmettelijke mensen,51.2
2020-07-29,Minimum,39.5
2020-07-29,Maximum,70.1
2020-07-29,Geschat aantal besmettelijke mensen,55.0
2020-07-30,Minimum,40.0
2020-07-30,Maximum,72.0
2020-07-30,Geschat aantal besmettelijke mensen,56.2
2020-07-31,Minimum,40.0
2020-07-31,Maximum,73.9
2020-07-31,Geschat aantal besmettelijke mensen,57.0
2020-08-01,Minimum,40.3
2020-08-01,Maximum,75.8
2020-08-01,Geschat aantal besmettelijke mensen,58.3
2020-08-02,Minimum,41.6
2020-08-02,Maximum,78.3
2020-08-02,Geschat aantal besmettelijke mensen,59.9
2020-08-03,Minimum,42.1
2020-08-03,Maximum,81.4
2020-08-03,Geschat aantal besmettelijke mensen,62.0
2020-08-04,Minimum,42.4
2020-08-04,Maximum,83.4
2020-08-04,Geschat aantal besmettelijke mensen,63.0
2020-08-05,Minimum,43.9
2020-08-05,Maximum,84.2
2020-08-05,Geschat aantal besmettelijke mensen,63.5
2020-08-06,Minimum,45.5
2020-08-06,Maximum,85.5
2020-08-06,Geschat aantal besmettelijke mensen,64.3
2020-08-07,Minimum,47.1
2020-08-07,Maximum,86.5
2020-08-07,Geschat aantal besmettelijke mensen,66.1
2020-08-08,Minimum,48.1
2020-08-08,Maximum,86.4
2020-08-08,Geschat aantal besmettelijke mensen,67.7
2020-08-09,Minimum,48.4
2020-08-09,Maximum,89.2
2020-08-09,Geschat aantal besmettelijke mensen,69.4
2020-08-10,Minimum,48.3
2020-08-10,Maximum,91.8
2020-08-10,Geschat aantal besmettelijke mensen,70.2
2020-08-11,Minimum,49.7
2020-08-11,Maximum,94.1
2020-08-11,Geschat aantal besmettelijke mensen,71.8
2020-08-12,Minimum,50.2
2020-08-12,Maximum,95.1
2020-08-12,Geschat aantal besmettelijke mensen,72.2
2020-08-13,Minimum,49.6
2020-08-13,Maximum,94.4
2020-08-13,Geschat aantal besmettelijke mensen,72.3
2020-08-14,Minimum,50.0
2020-08-14,Maximum,95.5
2020-08-14,Geschat aantal besmettelijke mensen,73.1
2020-08-15,Minimum,49.6
2020-08-15,Maximum,96.7
2020-08-15,Geschat aantal besmettelijke mensen,73.4
2020-08-16,Minimum,48.5
2020-08-16,Maximum,95.9
2020-08-16,Geschat aantal besmettelijke mensen,72.0
2020-08-17,Minimum,46.6
2020-08-17,Maximum,94.6
2020-08-17,Geschat aantal besmettelijke mensen,70.6
2020-08-18,Minimum,45.8
2020-08-18,Maximum,93.2
2020-08-18,Geschat aantal besmettelijke mensen,69.3
2020-08-19,Minimum,44.3
2020-08-19,Maximum,91.5
2020-08-19,Geschat aantal besmettelijke mensen,67.6
2020-08-20,Minimum,42.5
2020-08-20,Maximum,89.9
2020-08-20,Geschat aantal besmettelijke mensen,65.7
2020-08-21,Minimum,40.5
2020-08-21,Maximum,87.1
2020-08-21,Geschat aantal besmettelijke mensen,63.7
2020-08-22,Minimum,40.5
2020-08-22,Maximum,85.8
2020-08-22,Geschat aantal besmettelijke mensen,62.4
2020-08-23,Minimum,41.4
2020-08-23,Maximum,85.9
2020-08-23,Geschat aantal besmettelijke mensen,62.7
2020-08-24,Minimum,43.2
2020-08-24,Maximum,86.5
2020-08-24,Geschat aantal besmettelijke mensen,64.3
2020-08-25,Minimum,45.5
2020-08-25,Maximum,87.4
2020-08-25,Geschat aantal besmettelijke mensen,65.9
2020-08-26,Minimum,48.7
2020-08-26,Maximum,90.8
2020-08-26,Geschat aantal besmettelijke mensen,69.5
2020-08-27,Minimum,53.3
2020-08-27,Maximum,95.3
2020-08-27,Geschat aantal besmettelijke mensen,73.9
2020-08-28,Minimum,58.2
2020-08-28,Maximum,100.2
2020-08-28,Geschat aantal besmettelijke mensen,79.0
2020-08-29,Minimum,63.0
2020-08-29,Maximum,107.8
2020-08-29,Geschat aantal besmettelijke mensen,85.6
2020-08-30,Minimum,69.6
2020-08-30,Maximum,117.7
2020-08-30,Geschat aantal besmettelijke mensen,94.6
2020-08-31,Minimum,78.2
2020-08-31,Maximum,129.3
2020-08-31,Geschat aantal besmettelijke mensen,104.4
2020-09-01,Minimum,86.9
2020-09-01,Maximum,142.3
2020-09-01,Geschat aantal besmettelijke mensen,115.1
2020-09-02,Minimum,99.7
2020-09-02,Maximum,158.7
2020-09-02,Geschat aantal besmettelijke mensen,129.6
2020-09-03,Minimum,112.6
2020-09-03,Maximum,175.9
2020-09-03,Geschat aantal besmettelijke mensen,145.0
2020-09-04,Minimum,127.7
2020-09-04,Maximum,196.3
2020-09-04,Geschat aantal besmettelijke mensen,162.8
2020-09-05,Minimum,143.5
2020-09-05,Maximum,220.3
