report_date,date,province,value
2020-04-03,2020-03-27,Limburg,16
2020-04-03,2020-03-28,Limburg,22
2020-04-03,2020-03-29,Limburg,11
2020-04-03,2020-03-30,Limburg,18
2020-04-03,2020-03-31,Limburg,11
2020-04-03,2020-04-01,Limburg,19
2020-04-03,2020-04-02,Limburg,6
2020-04-03,2020-04-03,Limburg,0
2020-04-03,2020-02-27,Noord-Brabant,0
2020-04-03,2020-02-28,Noord-Brabant,0
2020-04-03,2020-02-29,Noord-Brabant,0
2020-04-03,2020-03-01,Noord-Brabant,0
2020-04-03,2020-03-02,Noord-Brabant,0
2020-04-03,2020-03-03,Noord-Brabant,0
2020-04-03,2020-03-04,Noord-Brabant,0
2020-04-03,2020-03-05,Noord-Brabant,0
2020-04-03,2020-03-06,Noord-Brabant,0
2020-04-03,2020-03-07,Noord-Brabant,1
2020-04-03,2020-03-08,Noord-Brabant,1
2020-04-03,2020-03-09,Noord-Brabant,0
2020-04-03,2020-03-10,Noord-Brabant,1
2020-04-03,2020-03-11,Noord-Brabant,1
2020-04-03,2020-03-12,Noord-Brabant,2
2020-04-03,2020-03-13,Noord-Brabant,4
2020-04-03,2020-03-14,Noord-Brabant,7
2020-04-03,2020-03-15,Noord-Brabant,7
2020-04-03,2020-03-16,Noord-Brabant,15
2020-04-03,2020-03-17,Noord-Brabant,14
2020-04-03,2020-03-18,Noord-Brabant,10
2020-04-03,2020-03-19,Noord-Brabant,25
2020-04-03,2020-03-20,Noord-Brabant,19
2020-04-03,2020-03-21,Noord-Brabant,25
2020-04-03,2020-03-22,Noord-Brabant,29
2020-04-03,2020-03-23,Noord-Brabant,37
2020-04-03,2020-03-24,Noord-Brabant,35
2020-04-03,2020-03-25,Noord-Brabant,39
2020-04-03,2020-03-26,Noord-Brabant,50
2020-04-03,2020-03-27,Noord-Brabant,39
2020-04-03,2020-03-28,Noord-Brabant,48
2020-04-03,2020-03-29,Noord-Brabant,34
2020-04-03,2020-03-30,Noord-Brabant,40
2020-04-03,2020-03-31,Noord-Brabant,43
2020-04-03,2020-04-01,Noord-Brabant,28
2020-04-03,2020-04-02,Noord-Brabant,20
2020-04-03,2020-04-03,Noord-Brabant,0
2020-04-03,2020-02-27,Zeeland,0
2020-04-03,2020-02-28,Zeeland,0
2020-04-03,2020-02-29,Zeeland,0
2020-04-03,2020-03-01,Zeeland,0
2020-04-03,2020-03-02,Zeeland,0
2020-04-03,2020-03-03,Zeeland,0
2020-04-03,2020-03-04,Zeeland,0
2020-04-03,2020-03-05,Zeeland,0
2020-04-03,2020-03-06,Zeeland,0
2020-04-03,2020-03-07,Zeeland,0
2020-04-03,2020-03-08,Zeeland,0
2020-04-03,2020-03-09,Zeeland,0
2020-04-03,2020-03-10,Zeeland,0
2020-04-03,2020-03-11,Zeeland,0
2020-04-03,2020-03-12,Zeeland,0
2020-04-03,2020-03-13,Zeeland,0
2020-04-03,2020-03-14,Zeeland,0
2020-04-03,2020-03-15,Zeeland,0
2020-04-03,2020-03-16,Zeeland,0
2020-04-03,2020-03-17,Zeeland,0
2020-04-03,2020-03-18,Zeeland,0
2020-04-03,2020-03-19,Zeeland,2
2020-04-03,2020-03-20,Zeeland,1
2020-04-03,2020-03-21,Zeeland,1
2020-04-03,2020-03-22,Zeeland,1
2020-04-03,2020-03-23,Zeeland,1
2020-04-03,2020-03-24,Zeeland,1
2020-04-03,2020-03-25,Zeeland,1
2020-04-03,2020-03-26,Zeeland,2
2020-04-03,2020-03-27,Zeeland,1
2020-04-03,2020-03-28,Zeeland,3
2020-04-03,2020-03-29,Zeeland,1
2020-04-03,2020-03-30,Zeeland,5
2020-04-03,2020-03-31,Zeeland,1
2020-04-03,2020-04-01,Zeeland,0
2020-04-03,2020-04-02,Zeeland,1
2020-04-03,2020-04-03,Zeeland,0
2020-04-03,2020-02-27,Friesland,0
2020-04-03,2020-02-28,Friesland,0
2020-04-03,2020-02-29,Friesland,0
2020-04-03,2020-03-01,Friesland,0
2020-04-03,2020-03-02,Friesland,0
2020-04-03,2020-03-03,Friesland,0
2020-04-03,2020-03-04,Friesland,0
2020-04-03,2020-03-05,Friesland,0
2020-04-03,2020-03-06,Friesland,0
2020-04-03,2020-03-07,Friesland,0
2020-04-03,2020-03-08,Friesland,0
2020-04-03,2020-03-09,Friesland,0
2020-04-03,2020-03-10,Friesland,0
2020-04-03,2020-03-11,Friesland,0
2020-04-03,2020-03-12,Friesland,0
2020-04-03,2020-03-13,Friesland,0
2020-04-03,2020-03-14,Friesland,0
2020-04-03,2020-03-15,Friesland,0
2020-04-03,2020-03-16,Friesland,1
2020-04-03,2020-03-17,Friesland,0
2020-04-03,2020-03-18,Friesland,0
2020-04-03,2020-03-19,Friesland,0
2020-04-03,2020-03-20,Friesland,0
2020-04-03,2020-03-21,Friesland,0
2020-04-03,2020-03-22,Friesland,0
2020-04-03,2020-03-23,Friesland,0
2020-04-03,2020-03-24,Friesland,0
2020-04-03,2020-03-25,Friesland,1
2020-04-03,2020-03-26,Friesland,1
2020-04-03,2020-03-27,Friesland,1
2020-04-03,2020-03-28,Friesland,3
2020-04-03,2020-03-29,Friesland,3
2020-04-03,2020-03-30,Friesland,1
2020-04-03,2020-03-31,Friesland,0
2020-04-03,2020-04-01,Friesland,2
2020-04-03,2020-04-02,Friesland,0
2020-04-03,2020-04-03,Friesland,0
2020-04-03,2020-02-27,Gelderland,0
2020-04-03,2020-02-28,Gelderland,0
2020-04-03,2020-02-29,Gelderland,0
2020-04-03,2020-03-01,Gelderland,0
2020-04-03,2020-03-02,Gelderland,0
2020-04-03,2020-03-03,Gelderland,0
2020-04-03,2020-03-04,Gelderland,0
2020-04-03,2020-03-05,Gelderland,0
2020-04-03,2020-03-06,Gelderland,0
2020-04-03,2020-03-07,Gelderland,0
2020-04-03,2020-03-08,Gelderland,0
2020-04-03,2020-03-09,Gelderland,0
2020-04-03,2020-03-10,Gelderland,0
2020-04-03,2020-03-11,Gelderland,0
2020-04-03,2020-03-12,Gelderland,0
2020-04-03,2020-03-13,Gelderland,1
2020-04-03,2020-03-14,Gelderland,0
2020-04-03,2020-03-15,Gelderland,0
2020-04-03,2020-03-16,Gelderland,1
2020-04-03,2020-03-17,Gelderland,0
2020-04-03,2020-03-18,Gelderland,2
2020-04-03,2020-03-19,Gelderland,1
2020-04-03,2020-03-20,Gelderland,8
2020-04-03,2020-03-21,Gelderland,7
2020-04-03,2020-03-22,Gelderland,5
2020-04-03,2020-03-23,Gelderland,6
2020-04-03,2020-03-24,Gelderland,7
2020-04-03,2020-03-25,Gelderland,14
2020-04-03,2020-03-26,Gelderland,15
2020-04-03,2020-03-27,Gelderland,13
2020-04-03,2020-03-28,Gelderland,16
2020-04-03,2020-03-29,Gelderland,16
2020-04-03,2020-03-30,Gelderland,22
2020-04-03,2020-03-31,Gelderland,18
2020-04-03,2020-04-01,Gelderland,14
2020-04-03,2020-04-02,Gelderland,9
2020-04-03,2020-04-03,Gelderland,1
2020-04-03,2020-02-27,Noord-Holland,0
2020-04-03,2020-02-28,Noord-Holland,0
2020-04-03,2020-02-29,Noord-Holland,0
2020-04-03,2020-03-01,Noord-Holland,0
2020-04-03,2020-03-02,Noord-Holland,0
2020-04-03,2020-03-03,Noord-Holland,0
2020-04-03,2020-03-04,Noord-Holland,0
2020-04-03,2020-03-05,Noord-Holland,0
2020-04-03,2020-03-06,Noord-Holland,0
2020-04-03,2020-03-07,Noord-Holland,0
2020-04-03,2020-03-08,Noord-Holland,0
2020-04-03,2020-03-09,Noord-Holland,0
2020-04-03,2020-03-10,Noord-Holland,0
2020-04-03,2020-03-11,Noord-Holland,0
2020-04-03,2020-03-12,Noord-Holland,0
2020-04-03,2020-03-13,Noord-Holland,0
2020-04-03,2020-03-14,Noord-Holland,0
2020-04-03,2020-03-15,Noord-Holland,1
2020-04-03,2020-03-16,Noord-Holland,0
2020-04-03,2020-03-17,Noord-Holland,1
2020-04-03,2020-03-18,Noord-Holland,1
2020-04-03,2020-03-19,Noord-Holland,1
2020-04-03,2020-03-20,Noord-Holland,8
2020-04-03,2020-03-21,Noord-Holland,7
2020-04-03,2020-03-22,Noord-Holland,6
2020-04-03,2020-03-23,Noord-Holland,3
2020-04-03,2020-03-24,Noord-Holland,6
2020-04-03,2020-03-25,Noord-Holland,10
2020-04-03,2020-03-26,Noord-Holland,8
2020-04-03,2020-03-27,Noord-Holland,10
2020-04-03,2020-03-28,Noord-Holland,20
2020-04-03,2020-03-29,Noord-Holland,19
2020-04-03,2020-03-30,Noord-Holland,17
2020-04-03,2020-03-31,Noord-Holland,19
2020-04-03,2020-04-01,Noord-Holland,7
2020-04-03,2020-04-02,Noord-Holland,6
2020-04-03,2020-04-03,Noord-Holland,0
2020-04-03,2020-02-27,Zuid-Holland,0
2020-04-03,2020-02-28,Zuid-Holland,0
2020-04-03,2020-02-29,Zuid-Holland,0
2020-04-03,2020-03-01,Zuid-Holland,0
2020-04-03,2020-03-02,Zuid-Holland,0
2020-04-03,2020-03-03,Zuid-Holland,0
2020-04-03,2020-03-04,Zuid-Holland,0
2020-04-03,2020-03-05,Zuid-Holland,0
2020-04-03,2020-03-06,Zuid-Holland,1
2020-04-03,2020-03-07,Zuid-Holland,0
2020-04-03,2020-03-08,Zuid-Holland,0
2020-04-03,2020-03-09,Zuid-Holland,0
2020-04-03,2020-03-10,Zuid-Holland,0
2020-04-03,2020-03-11,Zuid-Holland,0
2020-04-03,2020-03-12,Zuid-Holland,0
2020-04-03,2020-03-13,Zuid-Holland,0
2020-04-03,2020-03-14,Zuid-Holland,0
2020-04-03,2020-03-15,Zuid-Holland,0
2020-04-03,2020-03-16,Zuid-Holland,0
2020-04-03,2020-03-17,Zuid-Holland,0
2020-04-03,2020-03-18,Zuid-Holland,1
2020-04-03,2020-03-19,Zuid-Holland,1
2020-04-03,2020-03-20,Zuid-Holland,3
2020-04-03,2020-03-21,Zuid-Holland,4
2020-04-03,2020-03-22,Zuid-Holland,2
2020-04-03,2020-03-23,Zuid-Holland,4
2020-04-03,2020-03-24,Zuid-Holland,5
2020-04-03,2020-03-25,Zuid-Holland,7
2020-04-03,2020-03-26,Zuid-Holland,9
2020-04-03,2020-03-27,Zuid-Holland,11
2020-04-03,2020-03-28,Zuid-Holland,11
2020-04-03,2020-03-29,Zuid-Holland,6
2020-04-03,2020-03-30,Zuid-Holland,19
2020-04-03,2020-03-31,Zuid-Holland,14
2020-04-03,2020-04-01,Zuid-Holland,16
2020-04-03,2020-04-02,Zuid-Holland,8
2020-04-03,2020-04-03,Zuid-Holland,0
