Datum,Gemeentenaam,Gemeentecode,Provincienaam,Aantal
2020-03-07,Gooise Meren,1942,Noord-Holland,2
2020-03-07,Meierijstad,1948,Noord-Brabant,1
2020-03-07,Beekdaelen,1954,Limburg,2
2020-03-07,Altena,1959,Noord-Brabant,4
2020-03-07,West Betuwe,1960,Gelderland,2
2020-03-07,Vijfheerenlanden,1961,Utrecht,1
2020-03-07,Hoeksche Waard,1963,Zuid-Holland,2
2020-03-08,,-1,,2
2020-03-08,Almere,34,Flevoland,1
2020-03-08,Zeewolde,50,Flevoland,1
2020-03-08,Coevorden,109,Drenthe,7
2020-03-08,Emmen,114,Drenthe,1
2020-03-08,Almelo,141,Overijssel,1
2020-03-08,Borne,147,Overijssel,3
2020-03-08,Hellendoorn,163,Overijssel,2
2020-03-08,Zwolle,193,Overijssel,1
2020-03-08,Arnhem,202,Gelderland,3
2020-03-08,Beuningen,209,Gelderland,5
2020-03-08,Culemborg,216,Gelderland,1
2020-03-08,Maasdriel,263,Gelderland,1
2020-03-08,Nijmegen,268,Gelderland,2
2020-03-08,Renkum,274,Gelderland,5
2020-03-08,Wijchen,296,Gelderland,1
2020-03-08,Zaltbommel,297,Gelderland,1
2020-03-08,De Bilt,310,Utrecht,6
2020-03-08,Houten,321,Utrecht,13
2020-03-08,Soest,342,Utrecht,7
2020-03-08,Utrecht,344,Utrecht,13
2020-03-08,Wijk bij Duurstede,352,Utrecht,1
2020-03-08,IJsselstein,353,Utrecht,1
2020-03-08,Zeist,355,Utrecht,1
2020-03-08,Amstelveen,362,Noord-Holland,1
2020-03-08,Amsterdam,363,Noord-Holland,4
2020-03-08,Beverwijk,375,Noord-Holland,4
2020-03-08,Blaricum,376,Noord-Holland,1
2020-03-08,Bloemendaal,377,Noord-Holland,1
2020-03-08,Diemen,384,Noord-Holland,2
2020-03-08,Haarlem,392,Noord-Holland,2
2020-03-08,Heemstede,397,Noord-Holland,1
2020-03-08,Huizen,406,Noord-Holland,1
2020-03-08,Zaanstad,479,Noord-Holland,2
2020-03-08,Alphen aan den Rijn,484,Zuid-Holland,1
2020-03-08,Delft,503,Zuid-Holland,1
2020-03-08,'s-Gravenhage,518,Zuid-Holland,2
2020-03-08,Hardinxveld-Giessendam,523,Zuid-Holland,4
2020-03-08,Oegstgeest,579,Zuid-Holland,1
2020-03-08,Ridderkerk,597,Zuid-Holland,1
2020-03-08,Rotterdam,599,Zuid-Holland,14
2020-03-08,Albrandswaard,613,Zuid-Holland,1
2020-03-08,Westvoorne,614,Zuid-Holland,1
2020-03-08,Woerden,632,Utrecht,2
2020-03-08,West Maas en Waal,668,Gelderland,1
