Datum,Gemeentenaam,Gemeentecode,Provincienaam,Type,Aantal_min,Aantal_max
2020-03-26,Mook en Middelaar,944,Limburg,Overleden,0.0,0.0
2020-03-26,Nederweert,946,Limburg,Overleden,3.0,6.0
2020-03-26,Roermond,957,Limburg,Overleden,3.0,6.0
2020-03-26,Simpelveld,965,Limburg,Overleden,0.0,0.0
2020-03-26,Stein,971,Limburg,Overleden,9.0,14.0
2020-03-26,Vaals,981,Limburg,Overleden,0.0,0.0
2020-03-26,Venlo,983,Limburg,Overleden,3.0,6.0
2020-03-26,Venray,984,Limburg,Overleden,6.0,9.0
2020-03-26,Voerendaal,986,Limburg,Overleden,6.0,9.0
2020-03-26,Weert,988,Limburg,Overleden,3.0,6.0
2020-03-26,Valkenburg aan de Geul,994,Limburg,Overleden,0.0,0.0
2020-03-26,Lelystad,995,Flevoland,Overleden,3.0,6.0
2020-03-26,Horst aan de Maas,1507,Limburg,Overleden,3.0,6.0
2020-03-26,Oude IJsselstreek,1509,Gelderland,Overleden,0.0,0.0
2020-03-26,Teylingen,1525,Zuid-Holland,Overleden,0.0,0.0
2020-03-26,Utrechtse Heuvelrug,1581,Utrecht,Overleden,0.0,0.0
2020-03-26,Oost Gelre,1586,Gelderland,Overleden,0.0,0.0
2020-03-26,Koggenland,1598,Noord-Holland,Overleden,0.0,0.0
2020-03-26,Lansingerland,1621,Zuid-Holland,Overleden,0.0,0.0
2020-03-26,Leudal,1640,Limburg,Overleden,0.2,3.0
2020-03-26,Maasgouw,1641,Limburg,Overleden,6.0,9.0
2020-03-26,Gemert-Bakel,1652,Noord-Brabant,Overleden,3.0,6.0
2020-03-26,Halderberge,1655,Noord-Brabant,Overleden,3.0,6.0
2020-03-26,Heeze-Leende,1658,Noord-Brabant,Overleden,0.0,0.0
2020-03-26,Laarbeek,1659,Noord-Brabant,Overleden,9.0,14.0
2020-03-26,Reusel-De Mierden,1667,Noord-Brabant,Overleden,0.0,0.0
2020-03-26,Roerdalen,1669,Limburg,Overleden,0.0,0.0
2020-03-26,Roosendaal,1674,Noord-Brabant,Overleden,0.0,0.0
2020-03-26,Schouwen-Duiveland,1676,Zeeland,Overleden,0.0,0.0
2020-03-26,Aa en Hunze,1680,Drenthe,Overleden,0.0,0.0
2020-03-26,Borger-Odoorn,1681,Drenthe,Overleden,0.0,0.0
2020-03-26,Cuijk,1684,Noord-Brabant,Overleden,0.0,0.0
2020-03-26,Landerd,1685,Noord-Brabant,Overleden,14.0,49.0
2020-03-26,De Wolden,1690,Drenthe,Overleden,0.0,0.0
2020-03-26,Noord-Beveland,1695,Zeeland,Overleden,0.0,0.0
2020-03-26,Wijdemeren,1696,Noord-Holland,Overleden,0.0,0.0
2020-03-26,Noordenveld,1699,Drenthe,Overleden,3.0,6.0
2020-03-26,Twenterand,1700,Overijssel,Overleden,0.0,0.0
2020-03-26,Westerveld,1701,Drenthe,Overleden,3.0,6.0
2020-03-26,Sint Anthonis,1702,Noord-Brabant,Overleden,6.0,9.0
2020-03-26,Lingewaard,1705,Gelderland,Overleden,0.0,0.0
2020-03-26,Cranendonck,1706,Noord-Brabant,Overleden,9.0,14.0
2020-03-26,Steenwijkerland,1708,Overijssel,Overleden,0.0,0.0
2020-03-26,Moerdijk,1709,Noord-Brabant,Overleden,0.0,0.0
2020-03-26,Echt-Susteren,1711,Limburg,Overleden,9.0,14.0
2020-03-26,Sluis,1714,Zeeland,Overleden,6.0,9.0
2020-03-26,Drimmelen,1719,Noord-Brabant,Overleden,0.0,0.0
2020-03-26,Bernheze,1721,Noord-Brabant,Overleden,14.0,49.0
2020-03-26,Alphen-Chaam,1723,Noord-Brabant,Overleden,9.0,14.0
2020-03-26,Bergeijk,1724,Noord-Brabant,Overleden,0.0,0.0
2020-03-26,Bladel,1728,Noord-Brabant,Overleden,9.0,14.0
2020-03-26,Gulpen-Wittem,1729,Limburg,Overleden,0.0,0.0
2020-03-26,Tynaarlo,1730,Drenthe,Overleden,0.0,0.0
2020-03-26,Midden-Drenthe,1731,Drenthe,Overleden,0.0,0.0
2020-03-26,Overbetuwe,1734,Gelderland,Overleden,3.0,6.0
2020-03-26,Hof van Twente,1735,Overijssel,Overleden,0.0,0.0
2020-03-26,Neder-Betuwe,1740,Gelderland,Overleden,3.0,6.0
2020-03-26,Rijssen-Holten,1742,Overijssel,Overleden,0.0,0.0
2020-03-26,Geldrop-Mierlo,1771,Noord-Brabant,Overleden,0.2,3.0
2020-03-26,Olst-Wijhe,1773,Overijssel,Overleden,3.0,6.0
2020-03-26,Dinkelland,1774,Overijssel,Overleden,3.0,6.0
2020-03-26,Westland,1783,Zuid-Holland,Overleden,0.0,0.0
2020-03-26,Midden-Delfland,1842,Zuid-Holland,Overleden,0.0,0.0
2020-03-26,Berkelland,1859,Gelderland,Overleden,0.0,0.0
2020-03-26,Bronckhorst,1876,Gelderland,Overleden,0.0,0.0
2020-03-26,Sittard-Geleen,1883,Limburg,Overleden,9.0,14.0
2020-03-26,Kaag en Braassem,1884,Zuid-Holland,Overleden,0.0,0.0
2020-03-26,Dantumadiel,1891,Friesland,Overleden,0.0,0.0
2020-03-26,Zuidplas,1892,Zuid-Holland,Overleden,0.0,0.0
2020-03-26,Peel en Maas,1894,Limburg,Overleden,14.0,49.0
2020-03-26,Oldambt,1895,Groningen,Overleden,0.0,0.0
2020-03-26,Zwartewaterland,1896,Overijssel,Overleden,9.0,14.0
2020-03-26,Súdwest-Fryslân,1900,Friesland,Overleden,0.0,0.0
2020-03-26,Bodegraven-Reeuwijk,1901,Zuid-Holland,Overleden,0.0,0.0
2020-03-26,Eijsden-Margraten,1903,Limburg,Overleden,0.0,0.0
2020-03-26,Stichtse Vecht,1904,Utrecht,Overleden,3.0,6.0
