Datum,Provincienaam,Aantal
2020-03-25,Flevoland,82
2020-03-25,Zuid-Holland,862
2020-03-25,Zeeland,76
2020-03-25,Limburg,765
2020-03-25,Noord-Brabant,1861
2020-03-25,Drenthe,59
2020-03-25,,213
2020-03-25,Groningen,80
2020-03-25,Friesland,51
2020-03-25,Utrecht,547
2020-03-26,Friesland,68
2020-03-26,Overijssel,385
2020-03-26,Utrecht,628
2020-03-26,Zuid-Holland,1015
2020-03-26,Drenthe,70
2020-03-26,Flevoland,92
2020-03-26,Zeeland,90
2020-03-26,Groningen,109
2020-03-26,Limburg,858
2020-03-26,Noord-Brabant,2100
2020-03-26,Noord-Holland,982
2020-03-26,,237
2020-03-26,Gelderland,797
2020-03-27,Zeeland,108
2020-03-27,Groningen,120
2020-03-27,Utrecht,716
2020-03-27,Noord-Brabant,2426
2020-03-27,Friesland,81
2020-03-27,Noord-Holland,1175
2020-03-27,Drenthe,78
2020-03-27,Flevoland,105
2020-03-27,Gelderland,926
2020-03-27,,265
2020-03-27,Limburg,943
2020-03-27,Overijssel,443
2020-03-27,Zuid-Holland,1217
2020-03-28,Drenthe,96
2020-03-28,Utrecht,797
2020-03-28,Friesland,96
2020-03-28,,279
2020-03-28,Noord-Brabant,2678
2020-03-28,Noord-Holland,1335
2020-03-28,Groningen,133
2020-03-28,Zuid-Holland,1470
2020-03-28,Flevoland,117
2020-03-28,Limburg,1073
2020-03-28,Overijssel,511
2020-03-28,Zeeland,119
2020-03-28,Gelderland,1058
2020-03-29,Zeeland,133
2020-03-29,Groningen,140
2020-03-29,,305
2020-03-29,Drenthe,111
2020-03-29,Utrecht,880
2020-03-29,Friesland,118
2020-03-29,Noord-Holland,1484
2020-03-29,Gelderland,1235
2020-03-29,Limburg,1168
2020-03-29,Flevoland,134
2020-03-29,Noord-Brabant,2950
2020-03-29,Overijssel,583
2020-03-29,Zuid-Holland,1625
2020-03-30,Gelderland,1337
2020-03-30,Flevoland,141
2020-03-30,Groningen,146
2020-03-30,Overijssel,640
2020-03-30,Friesland,123
2020-03-30,Utrecht,952
2020-03-30,Limburg,1281
2020-03-30,Zeeland,147
2020-03-30,Noord-Brabant,3162
2020-03-30,Drenthe,115
2020-03-30,,310
2020-03-30,Noord-Holland,1629
2020-03-30,Zuid-Holland,1767
2020-03-31,Zuid-Holland,1949
2020-03-31,Noord-Holland,1845
2020-03-31,Utrecht,1046
2020-03-31,Limburg,1426
2020-03-31,Drenthe,126
2020-03-31,Friesland,130
2020-03-31,Gelderland,1475
2020-03-31,Flevoland,166
2020-03-31,Overijssel,698
2020-03-31,,0
2020-03-31,Noord-Brabant,3412
2020-03-31,Groningen,161
2020-03-31,Zeeland,161
2020-04-01,,0
2020-04-01,Flevoland,189
2020-04-01,Friesland,144
2020-04-01,Zeeland,178
2020-04-01,Utrecht,1111
2020-04-01,Noord-Holland,2017
2020-04-01,Overijssel,779
2020-04-01,Limburg,1513
2020-04-01,Zuid-Holland,2193
2020-04-01,Gelderland,1615
2020-04-01,Drenthe,146
2020-04-01,Noord-Brabant,3560
2020-04-01,Groningen,169
2020-04-02,Noord-Holland,2201
2020-04-02,Limburg,1598
2020-04-02,,0
2020-04-02,Zuid-Holland,2416
2020-04-02,Utrecht,1200
2020-04-02,Friesland,165
2020-04-02,Groningen,177
2020-04-02,Gelderland,1727
2020-04-02,Noord-Brabant,3790
2020-04-02,Zeeland,195
2020-04-02,Drenthe,160
2020-04-02,Overijssel,865
2020-04-02,Flevoland,203
2020-04-03,Overijssel,944
2020-04-03,,0
2020-04-03,Zuid-Holland,2622
2020-04-03,Noord-Holland,2372
2020-04-03,Groningen,183
2020-04-03,Noord-Brabant,3946
2020-04-03,Flevoland,225
2020-04-03,Gelderland,1882
2020-04-03,Zeeland,218
2020-04-03,Utrecht,1269
2020-04-03,Limburg,1711
2020-04-03,Drenthe,171
2020-04-03,Friesland,180
2020-04-04,Flevoland,234
2020-04-04,Drenthe,190
2020-04-04,Friesland,197
2020-04-04,Overijssel,1057
2020-04-04,Utrecht,1330
2020-04-04,Groningen,190
2020-04-04,Zuid-Holland,2817
2020-04-04,Noord-Holland,2546
2020-04-04,Noord-Brabant,4084
2020-04-04,,0
2020-04-04,Limburg,1762
2020-04-04,Gelderland,1985
2020-04-04,Zeeland,235
2020-04-05,Noord-Holland,2776
2020-04-05,Friesland,214
2020-04-05,Groningen,203
2020-04-05,Zeeland,242
2020-04-05,Zuid-Holland,3115
2020-04-05,Utrecht,1424
2020-04-05,Flevoland,254
2020-04-05,Limburg,1904
2020-04-05,Overijssel,1140
2020-04-05,,0
2020-04-05,Gelderland,2110
2020-04-05,Drenthe,206
2020-04-05,Noord-Brabant,4263
2020-04-06,Zeeland,279
2020-04-06,Noord-Holland,2891
2020-04-06,Gelderland,2210
2020-04-06,Overijssel,1211
2020-04-06,Utrecht,1476
2020-04-06,Flevoland,264
2020-04-06,Limburg,2011
2020-04-06,,0
2020-04-06,Drenthe,215
2020-04-06,Noord-Brabant,4456
2020-04-06,Friesland,222
2020-04-06,Groningen,207
2020-04-06,Zuid-Holland,3361
2020-04-07,Gelderland,2300
2020-04-07,Drenthe,218
2020-04-07,Overijssel,1279
2020-04-07,Flevoland,274
2020-04-07,Noord-Brabant,4614
2020-04-07,Limburg,2099
2020-04-07,Friesland,227
2020-04-07,Zuid-Holland,3500
2020-04-07,Utrecht,1528
2020-04-07,Zeeland,312
2020-04-07,,0
2020-04-07,Groningen,214
2020-04-07,Noord-Holland,3015
2020-04-08,Friesland,260
2020-04-08,,0
2020-04-08,Noord-Brabant,4799
2020-04-08,Zuid-Holland,3747
2020-04-08,Zeeland,330
2020-04-08,Utrecht,1599
2020-04-08,Noord-Holland,3145
2020-04-08,Gelderland,2391
2020-04-08,Flevoland,293
2020-04-08,Overijssel,1345
2020-04-08,Limburg,2181
2020-04-08,Groningen,227
2020-04-08,Drenthe,232
2020-04-09,Noord-Holland,3325
2020-04-09,Drenthe,249
2020-04-09,Limburg,2307
2020-04-09,,0
2020-04-09,Friesland,297
2020-04-09,Utrecht,1659
2020-04-09,Groningen,236
2020-04-09,Overijssel,1425
2020-04-09,Flevoland,303
