Datum,Gemeentecode,Gemeentenaam,Provincienaam,Provinciecode,Aantal
2020-03-31,866,Waalre,Noord-Brabant,30,0
2020-03-31,867,Waalwijk,Noord-Brabant,30,16
2020-03-31,873,Woensdrecht,Noord-Brabant,30,4
2020-03-31,879,Zundert,Noord-Brabant,30,13
2020-03-31,880,Wormerland,Noord-Holland,27,8
2020-03-31,882,Landgraaf,Limburg,31,7
2020-03-31,888,Beek,Limburg,31,0
2020-03-31,889,Beesel,Limburg,31,10
2020-03-31,893,Bergen (L.),Limburg,31,3
2020-03-31,899,Brunssum,Limburg,31,9
2020-03-31,907,Gennep,Limburg,31,9
2020-03-31,917,Heerlen,Limburg,31,24
2020-03-31,928,Kerkrade,Limburg,31,10
2020-03-31,935,Maastricht,Limburg,31,25
2020-03-31,938,Meerssen,Limburg,31,3
2020-03-31,944,Mook en Middelaar,Limburg,31,3
2020-03-31,946,Nederweert,Limburg,31,22
2020-03-31,957,Roermond,Limburg,31,25
2020-03-31,965,Simpelveld,Limburg,31,2
2020-03-31,971,Stein,Limburg,31,11
2020-03-31,981,Vaals,Limburg,31,2
2020-03-31,983,Venlo,Limburg,31,64
2020-03-31,984,Venray,Limburg,31,22
2020-03-31,986,Voerendaal,Limburg,31,2
2020-03-31,988,Weert,Limburg,31,27
2020-03-31,994,Valkenburg aan de Geul,Limburg,31,2
2020-03-31,995,Lelystad,Flevoland,24,24
2020-03-31,1507,Horst aan de Maas,Limburg,31,21
2020-03-31,1509,Oude IJsselstreek,Gelderland,25,2
2020-03-31,1525,Teylingen,Zuid-Holland,28,6
2020-03-31,1581,Utrechtse Heuvelrug,Utrecht,26,11
2020-03-31,1586,Oost Gelre,Gelderland,25,2
2020-03-31,1598,Koggenland,Noord-Holland,27,4
2020-03-31,1621,Lansingerland,Zuid-Holland,28,15
2020-03-31,1640,Leudal,Limburg,31,32
2020-03-31,1641,Maasgouw,Limburg,31,10
2020-03-31,1652,Gemert-Bakel,Noord-Brabant,30,48
2020-03-31,1655,Halderberge,Noord-Brabant,30,9
2020-03-31,1658,Heeze-Leende,Noord-Brabant,30,5
2020-03-31,1659,Laarbeek,Noord-Brabant,30,18
2020-03-31,1667,Reusel-De Mierden,Noord-Brabant,30,1
2020-03-31,1669,Roerdalen,Limburg,31,13
2020-03-31,1674,Roosendaal,Noord-Brabant,30,11
2020-03-31,1676,Schouwen-Duiveland,Zeeland,29,6
2020-03-31,1680,Aa en Hunze,Drenthe,22,1
2020-03-31,1681,Borger-Odoorn,Drenthe,22,1
2020-03-31,1684,Cuijk,Noord-Brabant,30,5
2020-03-31,1685,Landerd,Noord-Brabant,30,20
2020-03-31,1690,De Wolden,Drenthe,22,2
2020-03-31,1695,Noord-Beveland,Zeeland,29,0
2020-03-31,1696,Wijdemeren,Noord-Holland,27,3
2020-03-31,1699,Noordenveld,Drenthe,22,1
2020-03-31,1700,Twenterand,Overijssel,23,5
2020-03-31,1701,Westerveld,Drenthe,22,1
2020-03-31,1702,Sint Anthonis,Noord-Brabant,30,14
2020-03-31,1705,Lingewaard,Gelderland,25,14
2020-03-31,1706,Cranendonck,Noord-Brabant,30,28
2020-03-31,1708,Steenwijkerland,Overijssel,23,6
2020-03-31,1709,Moerdijk,Noord-Brabant,30,5
2020-03-31,1711,Echt-Susteren,Limburg,31,20
2020-03-31,1714,Sluis,Zeeland,29,4
2020-03-31,1719,Drimmelen,Noord-Brabant,30,14
2020-03-31,1721,Bernheze,Noord-Brabant,30,57
2020-03-31,1723,Alphen-Chaam,Noord-Brabant,30,9
2020-03-31,1724,Bergeijk,Noord-Brabant,30,5
2020-03-31,1728,Bladel,Noord-Brabant,30,7
2020-03-31,1729,Gulpen-Wittem,Limburg,31,2
2020-03-31,1730,Tynaarlo,Drenthe,22,5
2020-03-31,1731,Midden-Drenthe,Drenthe,22,4
2020-03-31,1734,Overbetuwe,Gelderland,25,32
2020-03-31,1735,Hof van Twente,Overijssel,23,8
2020-03-31,1740,Neder-Betuwe,Gelderland,25,22
2020-03-31,1742,Rijssen-Holten,Overijssel,23,8
2020-03-31,1771,Geldrop-Mierlo,Noord-Brabant,30,9
2020-03-31,1773,Olst-Wijhe,Overijssel,23,5
2020-03-31,1774,Dinkelland,Overijssel,23,11
2020-03-31,1783,Westland,Zuid-Holland,28,25
2020-03-31,1842,Midden-Delfland,Zuid-Holland,28,1
2020-03-31,1859,Berkelland,Gelderland,25,1
2020-03-31,1876,Bronckhorst,Gelderland,25,1
2020-03-31,1883,Sittard-Geleen,Limburg,31,24
2020-03-31,1884,Kaag en Braassem,Zuid-Holland,28,4
2020-03-31,1891,Dantumadiel,Friesland,21,0
2020-03-31,1892,Zuidplas,Zuid-Holland,28,9
2020-03-31,1894,Peel en Maas,Limburg,31,103
2020-03-31,1895,Oldambt,Groningen,20,1
2020-03-31,1896,Zwartewaterland,Overijssel,23,20
2020-03-31,1900,Súdwest-Fryslân,Friesland,21,12
2020-03-31,1901,Bodegraven-Reeuwijk,Zuid-Holland,28,2
2020-03-31,1903,Eijsden-Margraten,Limburg,31,6
2020-03-31,1904,Stichtse Vecht,Utrecht,26,16
2020-03-31,1911,Hollands Kroon,Noord-Holland,27,17
2020-03-31,1916,Leidschendam-Voorburg,Zuid-Holland,28,7
2020-03-31,1924,Goeree-Overflakkee,Zuid-Holland,28,24
2020-03-31,1926,Pijnacker-Nootdorp,Zuid-Holland,28,9
2020-03-31,1930,Nissewaard,Zuid-Holland,28,19
2020-03-31,1931,Krimpenerwaard,Zuid-Holland,28,22
2020-03-31,1940,De Fryske Marren,Friesland,21,11
2020-03-31,1942,Gooise Meren,Noord-Holland,27,10
2020-03-31,1945,Berg en Dal,Gelderland,25,15
2020-03-31,1948,Meierijstad,Noord-Brabant,30,110
2020-03-31,1949,Waadhoeke,Friesland,21,2
2020-03-31,1950,Westerwolde,Groningen,20,4
2020-03-31,1952,Midden-Groningen,Groningen,20,4
2020-03-31,1954,Beekdaelen,Limburg,31,12
2020-03-31,1955,Montferland,Gelderland,25,3
2020-03-31,1959,Altena,Noord-Brabant,30,17
2020-03-31,1960,West Betuwe,Gelderland,25,12
2020-03-31,1961,Vijfheerenlanden,Utrecht,26,11
2020-03-31,1963,Hoeksche Waard,Zuid-Holland,28,29
2020-03-31,1966,Het Hogeland,Groningen,20,4
2020-03-31,1969,Westerkwartier,Groningen,20,9
2020-03-31,1970,Noardeast-Fryslân,Friesland,21,4
2020-03-31,1978,Molenlanden,Zuid-Holland,28,9
2020-04-01,-1,,,,71
2020-04-01,3,Appingedam,Groningen,20,1
2020-04-01,10,Delfzijl,Groningen,20,4
2020-04-01,14,Groningen,Groningen,20,11
2020-04-01,24,Loppersum,Groningen,20,0
2020-04-01,34,Almere,Flevoland,24,50
2020-04-01,37,Stadskanaal,Groningen,20,0
2020-04-01,47,Veendam,Groningen,20,1
2020-04-01,50,Zeewolde,Flevoland,24,4
2020-04-01,59,Achtkarspelen,Friesland,21,0
2020-04-01,60,Ameland,Friesland,21,0
2020-04-01,72,Harlingen,Friesland,21,1
2020-04-01,74,Heerenveen,Friesland,21,7
2020-04-01,80,Leeuwarden,Friesland,21,19
2020-04-01,85,Ooststellingwerf,Friesland,21,1
2020-04-01,86,Opsterland,Friesland,21,4
2020-04-01,88,Schiermonnikoog,Friesland,21,0
2020-04-01,90,Smallingerland,Friesland,21,5
2020-04-01,93,Terschelling,Friesland,21,0
2020-04-01,96,Vlieland,Friesland,21,0
2020-04-01,98,Weststellingwerf,Friesland,21,2
2020-04-01,106,Assen,Drenthe,22,7
2020-04-01,109,Coevorden,Drenthe,22,6
2020-04-01,114,Emmen,Drenthe,22,6
2020-04-01,118,Hoogeveen,Drenthe,22,5
2020-04-01,119,Meppel,Drenthe,22,4
2020-04-01,141,Almelo,Overijssel,23,10
2020-04-01,147,Borne,Overijssel,23,10
2020-04-01,148,Dalfsen,Overijssel,23,7
2020-04-01,150,Deventer,Overijssel,23,22
2020-04-01,153,Enschede,Overijssel,23,28
