Gemeente,Aantal,id,Datum
Montferland,,1955,2020-02-27
Altena,,1959,2020-02-27
West Betuwe,,1960,2020-02-27
Vijfheerenlanden,,1961,2020-02-27
Hoeksche Waard,,1963,2020-02-27
Het Hogeland,,1966,2020-02-27
Westerkwartier,,1969,2020-02-27
Noardeast-Fryslân,,1970,2020-02-27
Molenlanden,,1978,2020-02-27
Appingedam,,3,2020-02-28
Delfzijl,,10,2020-02-28
Groningen,,14,2020-02-28
Loppersum,,24,2020-02-28
Almere,,34,2020-02-28
Stadskanaal,,37,2020-02-28
Veendam,,47,2020-02-28
Zeewolde,,50,2020-02-28
Achtkarspelen,,59,2020-02-28
Ameland,,60,2020-02-28
Harlingen,,72,2020-02-28
Heerenveen,,74,2020-02-28
Leeuwarden,,80,2020-02-28
Ooststellingwerf,,85,2020-02-28
Opsterland,,86,2020-02-28
Schiermonnikoog,,88,2020-02-28
Smallingerland,,90,2020-02-28
Terschelling,,93,2020-02-28
Vlieland,,96,2020-02-28
Weststellingwerf,,98,2020-02-28
Assen,,106,2020-02-28
Coevorden,,109,2020-02-28
Emmen,,114,2020-02-28
Hoogeveen,,118,2020-02-28
Meppel,,119,2020-02-28
Almelo,,141,2020-02-28
Borne,,147,2020-02-28
Dalfsen,,148,2020-02-28
Deventer,,150,2020-02-28
Enschede,,153,2020-02-28
Haaksbergen,,158,2020-02-28
Hardenberg,,160,2020-02-28
Hellendoorn,,163,2020-02-28
Hengelo (O),,164,2020-02-28
Kampen,,166,2020-02-28
Losser,,168,2020-02-28
Noordoostpolder,,171,2020-02-28
Oldenzaal,,173,2020-02-28
Ommen,,175,2020-02-28
Raalte,,177,2020-02-28
Staphorst,,180,2020-02-28
Tubbergen,,183,2020-02-28
Urk,,184,2020-02-28
Wierden,,189,2020-02-28
Zwolle,,193,2020-02-28
Aalten,,197,2020-02-28
Apeldoorn,,200,2020-02-28
Arnhem,,202,2020-02-28
Barneveld,,203,2020-02-28
Beuningen,,209,2020-02-28
Brummen,,213,2020-02-28
Buren,,214,2020-02-28
Culemborg,,216,2020-02-28
Doesburg,,221,2020-02-28
Doetinchem,,222,2020-02-28
Druten,,225,2020-02-28
Duiven,,226,2020-02-28
Ede,,228,2020-02-28
Elburg,,230,2020-02-28
Epe,,232,2020-02-28
Ermelo,,233,2020-02-28
Harderwijk,,243,2020-02-28
Hattem,,244,2020-02-28
Heerde,,246,2020-02-28
Heumen,,252,2020-02-28
Lochem,,262,2020-02-28
Maasdriel,,263,2020-02-28
Nijkerk,,267,2020-02-28
Nijmegen,,268,2020-02-28
Oldebroek,,269,2020-02-28
Putten,,273,2020-02-28
Renkum,,274,2020-02-28
Rheden,,275,2020-02-28
Rozendaal,,277,2020-02-28
Scherpenzeel,,279,2020-02-28
Tiel,,281,2020-02-28
Voorst,,285,2020-02-28
Wageningen,,289,2020-02-28
Westervoort,,293,2020-02-28
Winterswijk,,294,2020-02-28
Wijchen,,296,2020-02-28
Zaltbommel,,297,2020-02-28
Zevenaar,,299,2020-02-28
Zutphen,,301,2020-02-28
Nunspeet,,302,2020-02-28
Dronten,,303,2020-02-28
Amersfoort,,307,2020-02-28
Baarn,,308,2020-02-28
De Bilt,,310,2020-02-28
Bunnik,,312,2020-02-28
Bunschoten,,313,2020-02-28
Eemnes,,317,2020-02-28
Houten,,321,2020-02-28
Leusden,,327,2020-02-28
Lopik,,331,2020-02-28
Montfoort,,335,2020-02-28
Renswoude,,339,2020-02-28
Rhenen,,340,2020-02-28
Soest,,342,2020-02-28
Utrecht,,344,2020-02-28
Veenendaal,,345,2020-02-28
Woudenberg,,351,2020-02-28
Wijk bij Duurstede,,352,2020-02-28
IJsselstein,,353,2020-02-28
Zeist,,355,2020-02-28
Nieuwegein,,356,2020-02-28
Aalsmeer,,358,2020-02-28
Alkmaar,,361,2020-02-28
Amstelveen,,362,2020-02-28
Amsterdam,,363,2020-02-28
Beemster,,370,2020-02-28
Bergen (NH),,373,2020-02-28
Beverwijk,,375,2020-02-28
Blaricum,,376,2020-02-28
Bloemendaal,,377,2020-02-28
Castricum,,383,2020-02-28
Diemen,1,384,2020-02-28
Edam-Volendam,,385,2020-02-28
Enkhuizen,,388,2020-02-28
Haarlem,,392,2020-02-28
Haarlemmermeer,,394,2020-02-28
Heemskerk,,396,2020-02-28
Heemstede,,397,2020-02-28
Heerhugowaard,,398,2020-02-28
Heiloo,,399,2020-02-28
Den Helder,,400,2020-02-28
Hilversum,,402,2020-02-28
Hoorn,,405,2020-02-28
Huizen,,406,2020-02-28
Landsmeer,,415,2020-02-28
Langedijk,,416,2020-02-28
Laren,,417,2020-02-28
Medemblik,,420,2020-02-28
Oostzaan,,431,2020-02-28
Opmeer,,432,2020-02-28
Ouder-Amstel,,437,2020-02-28
Purmerend,,439,2020-02-28
Schagen,,441,2020-02-28
Texel,,448,2020-02-28
Uitgeest,,450,2020-02-28
Uithoorn,,451,2020-02-28
Velsen,,453,2020-02-28
Weesp,,457,2020-02-28
Zandvoort,,473,2020-02-28
Zaanstad,,479,2020-02-28
Alblasserdam,,482,2020-02-28
Alphen aan den Rijn,,484,2020-02-28
Barendrecht,,489,2020-02-28
Drechterland,,498,2020-02-28
Brielle,,501,2020-02-28
Capelle aan den IJssel,,502,2020-02-28
Delft,,503,2020-02-28
Dordrecht,,505,2020-02-28
Gorinchem,,512,2020-02-28
Gouda,,513,2020-02-28
's-Gravenhage,,518,2020-02-28
Hardinxveld-Giessendam,,523,2020-02-28
Hellevoetsluis,,530,2020-02-28
Hendrik-Ido-Ambacht,,531,2020-02-28
Stede Broec,,532,2020-02-28
Hillegom,,534,2020-02-28
Katwijk,,537,2020-02-28
Krimpen aan den IJssel,,542,2020-02-28
Leiden,,546,2020-02-28
Leiderdorp,,547,2020-02-28
Lisse,,553,2020-02-28
Maassluis,,556,2020-02-28
Nieuwkoop,,569,2020-02-28
Noordwijk,,575,2020-02-28
Oegstgeest,,579,2020-02-28
Oudewater,,589,2020-02-28
Papendrecht,,590,2020-02-28
Ridderkerk,,597,2020-02-28
Rotterdam,,599,2020-02-28
Rijswijk,,603,2020-02-28
Schiedam,,606,2020-02-28
Sliedrecht,,610,2020-02-28
Albrandswaard,,613,2020-02-28
Westvoorne,,614,2020-02-28
Vlaardingen,,622,2020-02-28
Voorschoten,,626,2020-02-28
Waddinxveen,,627,2020-02-28
Wassenaar,,629,2020-02-28
Woerden,,632,2020-02-28
Zoetermeer,,637,2020-02-28
Zoeterwoude,,638,2020-02-28
Zwijndrecht,,642,2020-02-28
Borsele,,654,2020-02-28
Goes,,664,2020-02-28
West Maas en Waal,,668,2020-02-28
Hulst,,677,2020-02-28
Kapelle,,678,2020-02-28
Middelburg,,687,2020-02-28
Reimerswaal,,703,2020-02-28
Terneuzen,,715,2020-02-28
Tholen,,716,2020-02-28
Veere,,717,2020-02-28
Vlissingen,,718,2020-02-28
De Ronde Venen,,736,2020-02-28
Tytsjerksteradiel,,737,2020-02-28
Asten,,743,2020-02-28
Baarle-Nassau,,744,2020-02-28
Bergen op Zoom,,748,2020-02-28
Best,,753,2020-02-28
Boekel,,755,2020-02-28
Boxmeer,,756,2020-02-28
Boxtel,,757,2020-02-28
Breda,,758,2020-02-28
Deurne,,762,2020-02-28
Pekela,,765,2020-02-28
Dongen,,766,2020-02-28
Eersel,,770,2020-02-28
Eindhoven,,772,2020-02-28
Etten-Leur,,777,2020-02-28
Geertruidenberg,,779,2020-02-28
Gilze en Rijen,,784,2020-02-28
Goirle,,785,2020-02-28
Grave,,786,2020-02-28
Haaren,,788,2020-02-28
Helmond,,794,2020-02-28
's-Hertogenbosch,,796,2020-02-28
Heusden,,797,2020-02-28
Hilvarenbeek,,798,2020-02-28
Loon op Zand,,809,2020-02-28
Mill en Sint Hubert,,815,2020-02-28
"Nuenen, Gerwen en Nederwetten",,820,2020-02-28
Oirschot,,823,2020-02-28
Oisterwijk,,824,2020-02-28
Oosterhout,,826,2020-02-28
Oss,,828,2020-02-28
Rucphen,,840,2020-02-28
Sint-Michielsgestel,,845,2020-02-28
Someren,,847,2020-02-28
Son en Breugel,,848,2020-02-28
Steenbergen,,851,2020-02-28
Waterland,,852,2020-02-28
Tilburg,1,855,2020-02-28
Uden,,856,2020-02-28
Valkenswaard,,858,2020-02-28
Veldhoven,,861,2020-02-28
Vught,,865,2020-02-28
Waalre,,866,2020-02-28
Waalwijk,,867,2020-02-28
Woensdrecht,,873,2020-02-28
Zundert,,879,2020-02-28
Wormerland,,880,2020-02-28
Landgraaf,,882,2020-02-28
Beek,,888,2020-02-28
Beesel,,889,2020-02-28
Bergen (L),,893,2020-02-28
Brunssum,,899,2020-02-28
Gennep,,907,2020-02-28
Heerlen,,917,2020-02-28
Kerkrade,,928,2020-02-28
Maastricht,,935,2020-02-28
Meerssen,,938,2020-02-28
Mook en Middelaar,,944,2020-02-28
Nederweert,,946,2020-02-28
Roermond,,957,2020-02-28
Simpelveld,,965,2020-02-28
Stein,,971,2020-02-28
Vaals,,981,2020-02-28
Venlo,,983,2020-02-28
Venray,,984,2020-02-28
Voerendaal,,986,2020-02-28
Weert,,988,2020-02-28
Valkenburg aan de Geul,,994,2020-02-28
Lelystad,,995,2020-02-28
Horst aan de Maas,,1507,2020-02-28
Oude IJsselstreek,,1509,2020-02-28
Teylingen,,1525,2020-02-28
Utrechtse Heuvelrug,,1581,2020-02-28
Oost Gelre,,1586,2020-02-28
Koggenland,,1598,2020-02-28
Lansingerland,,1621,2020-02-28
Leudal,,1640,2020-02-28
Maasgouw,,1641,2020-02-28
Gemert-Bakel,,1652,2020-02-28
Halderberge,,1655,2020-02-28
Heeze-Leende,,1658,2020-02-28
Laarbeek,,1659,2020-02-28
Reusel-De Mierden,,1667,2020-02-28
Roerdalen,,1669,2020-02-28
Roosendaal,,1674,2020-02-28
Schouwen-Duiveland,,1676,2020-02-28
Aa en Hunze,,1680,2020-02-28
Borger-Odoorn,,1681,2020-02-28
Cuijk,,1684,2020-02-28
Landerd,,1685,2020-02-28
De Wolden,,1690,2020-02-28
Noord-Beveland,,1695,2020-02-28
Wijdemeren,,1696,2020-02-28
Noordenveld,,1699,2020-02-28
Twenterand,,1700,2020-02-28
Westerveld,,1701,2020-02-28
Sint Anthonis,,1702,2020-02-28
Lingewaard,,1705,2020-02-28
Cranendonck,,1706,2020-02-28
Steenwijkerland,,1708,2020-02-28
Moerdijk,,1709,2020-02-28
Echt-Susteren,,1711,2020-02-28
Sluis,,1714,2020-02-28
Drimmelen,,1719,2020-02-28
Bernheze,,1721,2020-02-28
Alphen-Chaam,,1723,2020-02-28
Bergeijk,,1724,2020-02-28
Bladel,,1728,2020-02-28
Gulpen-Wittem,,1729,2020-02-28
Tynaarlo,,1730,2020-02-28
Midden-Drenthe,,1731,2020-02-28
Overbetuwe,,1734,2020-02-28
Hof van Twente,,1735,2020-02-28
Neder-Betuwe,,1740,2020-02-28
Rijssen-Holten,,1742,2020-02-28
Geldrop-Mierlo,,1771,2020-02-28
Olst-Wijhe,,1773,2020-02-28
Dinkelland,,1774,2020-02-28
Westland,,1783,2020-02-28
Midden-Delfland,,1842,2020-02-28
Berkelland,,1859,2020-02-28
Bronckhorst,,1876,2020-02-28
Sittard-Geleen,,1883,2020-02-28
Kaag en Braassem,,1884,2020-02-28
Dantumadiel,,1891,2020-02-28
Zuidplas,,1892,2020-02-28
Peel en Maas,,1894,2020-02-28
Oldambt,,1895,2020-02-28
Zwartewaterland,,1896,2020-02-28
Súdwest-Fryslân,,1900,2020-02-28
Bodegraven-Reeuwijk,,1901,2020-02-28
Eijsden-Margraten,,1903,2020-02-28
Stichtse Vecht,,1904,2020-02-28
Hollands Kroon,,1911,2020-02-28
Leidschendam-Voorburg,,1916,2020-02-28
Goeree-Overflakkee,,1924,2020-02-28
Pijnacker-Nootdorp,,1926,2020-02-28
Nissewaard,,1930,2020-02-28
Krimpenerwaard,,1931,2020-02-28
De Fryske Marren,,1940,2020-02-28
Gooise Meren,,1942,2020-02-28
Berg en Dal,,1945,2020-02-28
Meierijstad,,1948,2020-02-28
Waadhoeke,,1949,2020-02-28
Westerwolde,,1950,2020-02-28
Midden-Groningen,,1952,2020-02-28
Beekdaelen,,1954,2020-02-28
Montferland,,1955,2020-02-28
Altena,,1959,2020-02-28
West Betuwe,,1960,2020-02-28
Vijfheerenlanden,,1961,2020-02-28
Hoeksche Waard,,1963,2020-02-28
Het Hogeland,,1966,2020-02-28
Westerkwartier,,1969,2020-02-28
Noardeast-Fryslân,,1970,2020-02-28
Molenlanden,,1978,2020-02-28
Appingedam,,3,2020-02-29
Delfzijl,,10,2020-02-29
Groningen,,14,2020-02-29
Loppersum,,24,2020-02-29
Almere,,34,2020-02-29
Stadskanaal,,37,2020-02-29
Veendam,,47,2020-02-29
Zeewolde,,50,2020-02-29
Achtkarspelen,,59,2020-02-29
Ameland,,60,2020-02-29
Harlingen,,72,2020-02-29
Heerenveen,,74,2020-02-29
Leeuwarden,,80,2020-02-29
Ooststellingwerf,,85,2020-02-29
Opsterland,,86,2020-02-29
Schiermonnikoog,,88,2020-02-29
Smallingerland,,90,2020-02-29
Terschelling,,93,2020-02-29
Vlieland,,96,2020-02-29
Weststellingwerf,,98,2020-02-29
Assen,,106,2020-02-29
Coevorden,,109,2020-02-29
Emmen,,114,2020-02-29
Hoogeveen,,118,2020-02-29
Meppel,,119,2020-02-29
Almelo,,141,2020-02-29
Borne,,147,2020-02-29
Dalfsen,,148,2020-02-29
Deventer,,150,2020-02-29
Enschede,,153,2020-02-29
Haaksbergen,,158,2020-02-29
Hardenberg,,160,2020-02-29
Hellendoorn,,163,2020-02-29
Hengelo (O),,164,2020-02-29
Kampen,,166,2020-02-29
Losser,,168,2020-02-29
Noordoostpolder,,171,2020-02-29
Oldenzaal,,173,2020-02-29
Ommen,,175,2020-02-29
Raalte,,177,2020-02-29
Staphorst,,180,2020-02-29
Tubbergen,,183,2020-02-29
Urk,,184,2020-02-29
Wierden,,189,2020-02-29
Zwolle,,193,2020-02-29
Aalten,,197,2020-02-29
Apeldoorn,,200,2020-02-29
Arnhem,,202,2020-02-29
Barneveld,,203,2020-02-29
Beuningen,,209,2020-02-29
Brummen,,213,2020-02-29
Buren,,214,2020-02-29
Culemborg,,216,2020-02-29
Doesburg,,221,2020-02-29
Doetinchem,,222,2020-02-29
Druten,,225,2020-02-29
Duiven,,226,2020-02-29
Ede,,228,2020-02-29
Elburg,,230,2020-02-29
Epe,,232,2020-02-29
Ermelo,,233,2020-02-29
Harderwijk,,243,2020-02-29
Hattem,,244,2020-02-29
Heerde,,246,2020-02-29
Heumen,,252,2020-02-29
Lochem,,262,2020-02-29
Maasdriel,,263,2020-02-29
Nijkerk,,267,2020-02-29
Nijmegen,,268,2020-02-29
Oldebroek,,269,2020-02-29
Putten,,273,2020-02-29
Renkum,,274,2020-02-29
Rheden,,275,2020-02-29
Rozendaal,,277,2020-02-29
Scherpenzeel,,279,2020-02-29
Tiel,,281,2020-02-29
Voorst,,285,2020-02-29
Wageningen,,289,2020-02-29
Westervoort,,293,2020-02-29
Winterswijk,,294,2020-02-29
Wijchen,,296,2020-02-29
Zaltbommel,,297,2020-02-29
Zevenaar,,299,2020-02-29
Zutphen,,301,2020-02-29
Nunspeet,,302,2020-02-29
Dronten,,303,2020-02-29
Amersfoort,,307,2020-02-29
Baarn,,308,2020-02-29
De Bilt,,310,2020-02-29
Bunnik,,312,2020-02-29
Bunschoten,,313,2020-02-29
Eemnes,,317,2020-02-29
Houten,,321,2020-02-29
Leusden,,327,2020-02-29
Lopik,,331,2020-02-29
Montfoort,,335,2020-02-29
Renswoude,,339,2020-02-29
Rhenen,,340,2020-02-29
Soest,,342,2020-02-29
Utrecht,,344,2020-02-29
Veenendaal,,345,2020-02-29
Woudenberg,,351,2020-02-29
Wijk bij Duurstede,,352,2020-02-29
