Datum,Gemeentecode,Gemeentenaam,Provincienaam,Provinciecode,Aantal
2020-04-18,718,Vlissingen,Zeeland,29,4
2020-04-18,736,De Ronde Venen,Utrecht,26,3
2020-04-18,737,Tytsjerksteradiel,Friesland,21,1
2020-04-18,743,Asten,Noord-Brabant,30,6
2020-04-18,744,Baarle-Nassau,Noord-Brabant,30,0
2020-04-18,748,Bergen op Zoom,Noord-Brabant,30,5
2020-04-18,753,Best,Noord-Brabant,30,8
2020-04-18,755,Boekel,Noord-Brabant,30,21
2020-04-18,756,Boxmeer,Noord-Brabant,30,12
2020-04-18,757,Boxtel,Noord-Brabant,30,11
2020-04-18,758,Breda,Noord-Brabant,30,50
2020-04-18,762,Deurne,Noord-Brabant,30,14
2020-04-18,765,Pekela,Groningen,20,0
2020-04-18,766,Dongen,Noord-Brabant,30,9
2020-04-18,770,Eersel,Noord-Brabant,30,7
2020-04-18,772,Eindhoven,Noord-Brabant,30,55
2020-04-18,777,Etten-Leur,Noord-Brabant,30,25
2020-04-18,779,Geertruidenberg,Noord-Brabant,30,4
2020-04-18,784,Gilze en Rijen,Noord-Brabant,30,10
2020-04-18,785,Goirle,Noord-Brabant,30,14
2020-04-18,786,Grave,Noord-Brabant,30,6
2020-04-18,788,Haaren,Noord-Brabant,30,5
2020-04-18,794,Helmond,Noord-Brabant,30,31
2020-04-18,796,'s-Hertogenbosch,Noord-Brabant,30,56
2020-04-18,797,Heusden,Noord-Brabant,30,12
2020-04-18,798,Hilvarenbeek,Noord-Brabant,30,4
2020-04-18,809,Loon op Zand,Noord-Brabant,30,5
2020-04-18,815,Mill en Sint Hubert,Noord-Brabant,30,3
2020-04-18,820,"Nuenen, Gerwen en Nederwetten",Noord-Brabant,30,5
2020-04-18,823,Oirschot,Noord-Brabant,30,6
2020-04-18,824,Oisterwijk,Noord-Brabant,30,9
2020-04-18,826,Oosterhout,Noord-Brabant,30,8
2020-04-18,828,Oss,Noord-Brabant,30,68
2020-04-18,840,Rucphen,Noord-Brabant,30,6
2020-04-18,845,Sint-Michielsgestel,Noord-Brabant,30,11
2020-04-18,847,Someren,Noord-Brabant,30,6
2020-04-18,848,Son en Breugel,Noord-Brabant,30,10
2020-04-18,851,Steenbergen,Noord-Brabant,30,6
2020-04-18,852,Waterland,Noord-Holland,27,2
2020-04-18,855,Tilburg,Noord-Brabant,30,119
2020-04-18,856,Uden,Noord-Brabant,30,54
2020-04-18,858,Valkenswaard,Noord-Brabant,30,26
2020-04-18,861,Veldhoven,Noord-Brabant,30,15
2020-04-18,865,Vught,Noord-Brabant,30,14
2020-04-18,866,Waalre,Noord-Brabant,30,4
2020-04-18,867,Waalwijk,Noord-Brabant,30,24
2020-04-18,873,Woensdrecht,Noord-Brabant,30,0
2020-04-18,879,Zundert,Noord-Brabant,30,8
2020-04-18,880,Wormerland,Noord-Holland,27,6
2020-04-18,882,Landgraaf,Limburg,31,11
2020-04-18,888,Beek,Limburg,31,3
2020-04-18,889,Beesel,Limburg,31,7
2020-04-18,893,Bergen (L.),Limburg,31,2
2020-04-18,899,Brunssum,Limburg,31,11
2020-04-18,907,Gennep,Limburg,31,10
2020-04-18,917,Heerlen,Limburg,31,38
2020-04-18,928,Kerkrade,Limburg,31,17
2020-04-18,935,Maastricht,Limburg,31,57
2020-04-18,938,Meerssen,Limburg,31,7
2020-04-18,944,Mook en Middelaar,Limburg,31,4
2020-04-18,946,Nederweert,Limburg,31,5
2020-04-18,957,Roermond,Limburg,31,20
2020-04-18,965,Simpelveld,Limburg,31,3
2020-04-18,971,Stein,Limburg,31,15
2020-04-18,981,Vaals,Limburg,31,1
2020-04-18,983,Venlo,Limburg,31,48
2020-04-18,984,Venray,Limburg,31,16
2020-04-18,986,Voerendaal,Limburg,31,6
2020-04-18,988,Weert,Limburg,31,10
2020-04-18,994,Valkenburg aan de Geul,Limburg,31,5
2020-04-18,995,Lelystad,Flevoland,24,7
2020-04-18,1507,Horst aan de Maas,Limburg,31,17
2020-04-18,1509,Oude IJsselstreek,Gelderland,25,5
2020-04-18,1525,Teylingen,Zuid-Holland,28,0
2020-04-18,1581,Utrechtse Heuvelrug,Utrecht,26,6
2020-04-18,1586,Oost Gelre,Gelderland,25,5
2020-04-18,1598,Koggenland,Noord-Holland,27,6
2020-04-18,1621,Lansingerland,Zuid-Holland,28,15
2020-04-18,1640,Leudal,Limburg,31,22
2020-04-18,1641,Maasgouw,Limburg,31,10
2020-04-18,1652,Gemert-Bakel,Noord-Brabant,30,29
2020-04-18,1655,Halderberge,Noord-Brabant,30,6
2020-04-18,1658,Heeze-Leende,Noord-Brabant,30,6
2020-04-18,1659,Laarbeek,Noord-Brabant,30,23
2020-04-18,1667,Reusel-De Mierden,Noord-Brabant,30,1
2020-04-18,1669,Roerdalen,Limburg,31,6
2020-04-18,1674,Roosendaal,Noord-Brabant,30,13
2020-04-18,1676,Schouwen-Duiveland,Zeeland,29,0
2020-04-18,1680,Aa en Hunze,Drenthe,22,0
2020-04-18,1681,Borger-Odoorn,Drenthe,22,3
2020-04-18,1684,Cuijk,Noord-Brabant,30,7
2020-04-18,1685,Landerd,Noord-Brabant,30,15
2020-04-18,1690,De Wolden,Drenthe,22,0
2020-04-18,1695,Noord-Beveland,Zeeland,29,0
2020-04-18,1696,Wijdemeren,Noord-Holland,27,0
2020-04-18,1699,Noordenveld,Drenthe,22,1
2020-04-18,1700,Twenterand,Overijssel,23,2
2020-04-18,1701,Westerveld,Drenthe,22,2
2020-04-18,1702,Sint Anthonis,Noord-Brabant,30,10
2020-04-18,1705,Lingewaard,Gelderland,25,5
2020-04-18,1706,Cranendonck,Noord-Brabant,30,21
2020-04-18,1708,Steenwijkerland,Overijssel,23,4
2020-04-18,1709,Moerdijk,Noord-Brabant,30,6
2020-04-18,1711,Echt-Susteren,Limburg,31,14
2020-04-18,1714,Sluis,Zeeland,29,4
2020-04-18,1719,Drimmelen,Noord-Brabant,30,4
2020-04-18,1721,Bernheze,Noord-Brabant,30,48
2020-04-18,1723,Alphen-Chaam,Noord-Brabant,30,5
2020-04-18,1724,Bergeijk,Noord-Brabant,30,4
2020-04-18,1728,Bladel,Noord-Brabant,30,7
2020-04-18,1729,Gulpen-Wittem,Limburg,31,6
2020-04-18,1730,Tynaarlo,Drenthe,22,0
2020-04-18,1731,Midden-Drenthe,Drenthe,22,0
2020-04-18,1734,Overbetuwe,Gelderland,25,11
2020-04-18,1735,Hof van Twente,Overijssel,23,2
2020-04-18,1740,Neder-Betuwe,Gelderland,25,14
2020-04-18,1742,Rijssen-Holten,Overijssel,23,4
2020-04-18,1771,Geldrop-Mierlo,Noord-Brabant,30,13
2020-04-18,1773,Olst-Wijhe,Overijssel,23,5
2020-04-18,1774,Dinkelland,Overijssel,23,7
2020-04-18,1783,Westland,Zuid-Holland,28,21
2020-04-18,1842,Midden-Delfland,Zuid-Holland,28,0
2020-04-18,1859,Berkelland,Gelderland,25,1
2020-04-18,1876,Bronckhorst,Gelderland,25,4
2020-04-18,1883,Sittard-Geleen,Limburg,31,41
2020-04-18,1884,Kaag en Braassem,Zuid-Holland,28,2
2020-04-18,1891,Dantumadiel,Friesland,21,0
2020-04-18,1892,Zuidplas,Zuid-Holland,28,5
2020-04-18,1894,Peel en Maas,Limburg,31,56
2020-04-18,1895,Oldambt,Groningen,20,0
2020-04-18,1896,Zwartewaterland,Overijssel,23,12
2020-04-18,1900,Súdwest-Fryslân,Friesland,21,1
2020-04-18,1901,Bodegraven-Reeuwijk,Zuid-Holland,28,2
2020-04-18,1903,Eijsden-Margraten,Limburg,31,18
2020-04-18,1904,Stichtse Vecht,Utrecht,26,6
2020-04-18,1911,Hollands Kroon,Noord-Holland,27,5
2020-04-18,1916,Leidschendam-Voorburg,Zuid-Holland,28,5
2020-04-18,1924,Goeree-Overflakkee,Zuid-Holland,28,23
2020-04-18,1926,Pijnacker-Nootdorp,Zuid-Holland,28,6
2020-04-18,1930,Nissewaard,Zuid-Holland,28,8
2020-04-18,1931,Krimpenerwaard,Zuid-Holland,28,19
2020-04-18,1940,De Fryske Marren,Friesland,21,5
2020-04-18,1942,Gooise Meren,Noord-Holland,27,1
2020-04-18,1945,Berg en Dal,Gelderland,25,13
2020-04-18,1948,Meierijstad,Noord-Brabant,30,106
2020-04-18,1949,Waadhoeke,Friesland,21,5
2020-04-18,1950,Westerwolde,Groningen,20,0
2020-04-18,1952,Midden-Groningen,Groningen,20,1
2020-04-18,1954,Beekdaelen,Limburg,31,19
2020-04-18,1955,Montferland,Gelderland,25,4
2020-04-18,1959,Altena,Noord-Brabant,30,10
2020-04-18,1960,West Betuwe,Gelderland,25,13
2020-04-18,1961,Vijfheerenlanden,Utrecht,26,31
2020-04-18,1963,Hoeksche Waard,Zuid-Holland,28,9
2020-04-18,1966,Het Hogeland,Groningen,20,1
2020-04-18,1969,Westerkwartier,Groningen,20,4
2020-04-18,1970,Noardeast-Fryslân,Friesland,21,4
2020-04-18,1978,Molenlanden,Zuid-Holland,28,4
2020-04-19,-1,,,,33
2020-04-19,3,Appingedam,Groningen,20,0
2020-04-19,10,Delfzijl,Groningen,20,0
2020-04-19,14,Groningen,Groningen,20,2
2020-04-19,24,Loppersum,Groningen,20,0
2020-04-19,34,Almere,Flevoland,24,5
2020-04-19,37,Stadskanaal,Groningen,20,1
2020-04-19,47,Veendam,Groningen,20,0
2020-04-19,50,Zeewolde,Flevoland,24,3
2020-04-19,59,Achtkarspelen,Friesland,21,0
2020-04-19,60,Ameland,Friesland,21,0
2020-04-19,72,Harlingen,Friesland,21,1
2020-04-19,74,Heerenveen,Friesland,21,11
2020-04-19,80,Leeuwarden,Friesland,21,6
2020-04-19,85,Ooststellingwerf,Friesland,21,0
2020-04-19,86,Opsterland,Friesland,21,0
2020-04-19,88,Schiermonnikoog,Friesland,21,0
2020-04-19,90,Smallingerland,Friesland,21,3
2020-04-19,93,Terschelling,Friesland,21,0
2020-04-19,96,Vlieland,Friesland,21,0
2020-04-19,98,Weststellingwerf,Friesland,21,2
2020-04-19,106,Assen,Drenthe,22,2
2020-04-19,109,Coevorden,Drenthe,22,1
2020-04-19,114,Emmen,Drenthe,22,7
2020-04-19,118,Hoogeveen,Drenthe,22,4
2020-04-19,119,Meppel,Drenthe,22,3
2020-04-19,141,Almelo,Overijssel,23,3
2020-04-19,147,Borne,Overijssel,23,6
2020-04-19,148,Dalfsen,Overijssel,23,6
2020-04-19,150,Deventer,Overijssel,23,23
2020-04-19,153,Enschede,Overijssel,23,13
2020-04-19,158,Haaksbergen,Overijssel,23,1
2020-04-19,160,Hardenberg,Overijssel,23,6
2020-04-19,163,Hellendoorn,Overijssel,23,2
2020-04-19,164,Hengelo,Overijssel,23,14
2020-04-19,166,Kampen,Overijssel,23,22
2020-04-19,168,Losser,Overijssel,23,0
2020-04-19,171,Noordoostpolder,Flevoland,24,3
2020-04-19,173,Oldenzaal,Overijssel,23,5
2020-04-19,175,Ommen,Overijssel,23,2
2020-04-19,177,Raalte,Overijssel,23,9
2020-04-19,180,Staphorst,Overijssel,23,3
2020-04-19,183,Tubbergen,Overijssel,23,3
2020-04-19,184,Urk,Flevoland,24,4
2020-04-19,189,Wierden,Overijssel,23,3
2020-04-19,193,Zwolle,Overijssel,23,33
2020-04-19,197,Aalten,Gelderland,25,3
2020-04-19,200,Apeldoorn,Gelderland,25,29
