Datum,Type,Aantal,AantalCumulatief
2020-05-19,Overleden besmette bewoners,16.0,2658.0
2020-05-20,Positief geteste bewoners,58.0,8073.0
2020-05-20,Overleden besmette bewoners,15.0,2673.0
2020-05-21,Positief geteste bewoners,12.0,8085.0
2020-05-21,Overleden besmette bewoners,6.0,2679.0
2020-05-22,Positief geteste bewoners,31.0,8116.0
2020-05-22,Overleden besmette bewoners,11.0,2690.0
2020-05-23,Positief geteste bewoners,11.0,8127.0
2020-05-23,Overleden besmette bewoners,13.0,2703.0
2020-05-24,Positief geteste bewoners,14.0,8141.0
2020-05-24,Overleden besmette bewoners,11.0,2714.0
2020-05-25,Positief geteste bewoners,20.0,8161.0
2020-05-25,Overleden besmette bewoners,9.0,2723.0
2020-05-26,Positief geteste bewoners,16.0,8177.0
2020-05-26,Overleden besmette bewoners,10.0,2733.0
2020-05-27,Positief geteste bewoners,16.0,8193.0
2020-05-27,Overleden besmette bewoners,12.0,2745.0
2020-05-28,Positief geteste bewoners,20.0,8213.0
2020-05-28,Overleden besmette bewoners,3.0,2748.0
2020-05-29,Positief geteste bewoners,8.0,8221.0
2020-05-29,Overleden besmette bewoners,8.0,2756.0
2020-05-30,Positief geteste bewoners,7.0,8228.0
2020-05-30,Overleden besmette bewoners,5.0,2761.0
2020-05-31,Positief geteste bewoners,5.0,8233.0
2020-05-31,Overleden besmette bewoners,8.0,2769.0
2020-06-01,Positief geteste bewoners,3.0,8236.0
2020-06-01,Overleden besmette bewoners,5.0,2774.0
2020-06-02,Positief geteste bewoners,4.0,8240.0
2020-06-02,Overleden besmette bewoners,5.0,2779.0
2020-06-03,Positief geteste bewoners,7.0,8247.0
2020-06-03,Overleden besmette bewoners,2.0,2781.0
2020-06-04,Positief geteste bewoners,18.0,8265.0
2020-06-04,Overleden besmette bewoners,6.0,2787.0
2020-06-05,Positief geteste bewoners,17.0,8282.0
2020-06-05,Overleden besmette bewoners,6.0,2793.0
2020-06-06,Positief geteste bewoners,5.0,8287.0
2020-06-06,Overleden besmette bewoners,3.0,2796.0
2020-06-07,Positief geteste bewoners,4.0,8291.0
2020-06-07,Overleden besmette bewoners,7.0,2803.0
2020-06-08,Positief geteste bewoners,7.0,8298.0
2020-06-08,Overleden besmette bewoners,0.0,2803.0
2020-06-09,Positief geteste bewoners,12.0,8310.0
2020-06-09,Overleden besmette bewoners,1.0,2804.0
2020-06-10,Positief geteste bewoners,8.0,8318.0
2020-06-10,Overleden besmette bewoners,3.0,2807.0
2020-06-11,Positief geteste bewoners,10.0,8328.0
2020-06-11,Overleden besmette bewoners,3.0,2810.0
2020-06-12,Positief geteste bewoners,7.0,8335.0
2020-06-12,Overleden besmette bewoners,3.0,2813.0
2020-06-13,Positief geteste bewoners,5.0,8340.0
2020-06-13,Overleden besmette bewoners,1.0,2814.0
2020-06-14,Positief geteste bewoners,4.0,8344.0
2020-06-14,Overleden besmette bewoners,2.0,2816.0
2020-06-15,Positief geteste bewoners,5.0,8349.0
2020-06-15,Overleden besmette bewoners,1.0,2817.0
2020-06-16,Positief geteste bewoners,2.0,8351.0
2020-06-16,Overleden besmette bewoners,1.0,2818.0
2020-06-17,Positief geteste bewoners,3.0,8354.0
2020-06-17,Overleden besmette bewoners,1.0,2819.0
2020-06-18,Positief geteste bewoners,3.0,8357.0
2020-06-18,Overleden besmette bewoners,4.0,2823.0
2020-06-19,Positief geteste bewoners,6.0,8363.0
2020-06-19,Overleden besmette bewoners,0.0,2823.0
2020-06-20,Positief geteste bewoners,2.0,8365.0
2020-06-20,Overleden besmette bewoners,0.0,2823.0
2020-06-21,Positief geteste bewoners,1.0,8366.0
2020-06-21,Overleden besmette bewoners,2.0,2825.0
2020-06-22,Positief geteste bewoners,1.0,8367.0
2020-06-22,Overleden besmette bewoners,0.0,2825.0
2020-06-23,Positief geteste bewoners,3.0,8370.0
2020-06-23,Overleden besmette bewoners,1.0,2826.0
2020-06-24,Positief geteste bewoners,9.0,8379.0
2020-06-24,Overleden besmette bewoners,1.0,2827.0
2020-06-25,Positief geteste bewoners,7.0,8386.0
2020-06-25,Overleden besmette bewoners,0.0,2827.0
2020-06-26,Positief geteste bewoners,1.0,8387.0
2020-06-26,Overleden besmette bewoners,2.0,2829.0
2020-06-27,Positief geteste bewoners,2.0,8389.0
2020-06-27,Overleden besmette bewoners,1.0,2830.0
2020-06-28,Positief geteste bewoners,1.0,8390.0
2020-06-28,Overleden besmette bewoners,1.0,2831.0
2020-06-29,Positief geteste bewoners,8.0,8398.0
2020-06-29,Overleden besmette bewoners,1.0,2832.0
2020-06-30,Positief geteste bewoners,1.0,8399.0
2020-06-30,Overleden besmette bewoners,2.0,2834.0
2020-07-01,Positief geteste bewoners,2.0,8401.0
2020-07-01,Overleden besmette bewoners,1.0,2835.0
2020-07-02,Positief geteste bewoners,2.0,8403.0
2020-07-02,Overleden besmette bewoners,0.0,2835.0
2020-07-03,Positief geteste bewoners,3.0,8406.0
2020-07-03,Overleden besmette bewoners,3.0,2838.0
2020-07-04,Positief geteste bewoners,1.0,8407.0
2020-07-04,Overleden besmette bewoners,0.0,2838.0
2020-07-05,Positief geteste bewoners,1.0,8408.0
2020-07-05,Overleden besmette bewoners,2.0,2840.0
2020-07-06,Positief geteste bewoners,0.0,8408.0
2020-07-06,Overleden besmette bewoners,0.0,2840.0
2020-07-07,Positief geteste bewoners,0.0,8408.0
2020-07-07,Overleden besmette bewoners,1.0,2841.0
