report_date,date,province,value
2020-04-30,2020-03-30,Friesland,7
2020-04-30,2020-03-31,Friesland,11
2020-04-30,2020-04-01,Friesland,19
2020-04-30,2020-04-02,Friesland,16
2020-04-30,2020-04-03,Friesland,21
2020-04-30,2020-04-04,Friesland,13
2020-04-30,2020-04-05,Friesland,10
2020-04-30,2020-04-06,Friesland,3
2020-04-30,2020-04-07,Friesland,40
2020-04-30,2020-04-08,Friesland,23
2020-04-30,2020-04-09,Friesland,38
2020-04-30,2020-04-10,Friesland,18
2020-04-30,2020-04-11,Friesland,25
2020-04-30,2020-04-12,Friesland,5
2020-04-30,2020-04-13,Friesland,7
2020-04-30,2020-04-14,Friesland,6
2020-04-30,2020-04-15,Friesland,25
2020-04-30,2020-04-16,Friesland,24
2020-04-30,2020-04-17,Friesland,19
2020-04-30,2020-04-18,Friesland,9
2020-04-30,2020-04-19,Friesland,5
2020-04-30,2020-04-20,Friesland,4
2020-04-30,2020-04-21,Friesland,9
2020-04-30,2020-04-22,Friesland,12
2020-04-30,2020-04-23,Friesland,9
2020-04-30,2020-04-24,Friesland,9
2020-04-30,2020-04-25,Friesland,1
2020-04-30,2020-04-26,Friesland,4
2020-04-30,2020-04-27,Friesland,2
2020-04-30,2020-04-28,Friesland,4
2020-04-30,2020-04-29,Friesland,2
2020-04-30,2020-04-30,Friesland,1
2020-04-30,2020-02-27,Gelderland,0
2020-04-30,2020-02-28,Gelderland,0
2020-04-30,2020-02-29,Gelderland,0
2020-04-30,2020-03-01,Gelderland,0
2020-04-30,2020-03-02,Gelderland,3
2020-04-30,2020-03-03,Gelderland,1
2020-04-30,2020-03-04,Gelderland,3
2020-04-30,2020-03-05,Gelderland,5
2020-04-30,2020-03-06,Gelderland,1
2020-04-30,2020-03-07,Gelderland,10
2020-04-30,2020-03-08,Gelderland,4
2020-04-30,2020-03-09,Gelderland,8
2020-04-30,2020-03-10,Gelderland,7
2020-04-30,2020-03-11,Gelderland,13
2020-04-30,2020-03-12,Gelderland,16
2020-04-30,2020-03-13,Gelderland,25
2020-04-30,2020-03-14,Gelderland,39
2020-04-30,2020-03-15,Gelderland,26
2020-04-30,2020-03-16,Gelderland,33
2020-04-30,2020-03-17,Gelderland,43
2020-04-30,2020-03-18,Gelderland,45
2020-04-30,2020-03-19,Gelderland,50
2020-04-30,2020-03-20,Gelderland,86
2020-04-30,2020-03-21,Gelderland,62
2020-04-30,2020-03-22,Gelderland,65
2020-04-30,2020-03-23,Gelderland,74
2020-04-30,2020-03-24,Gelderland,113
2020-04-30,2020-03-25,Gelderland,152
2020-04-30,2020-03-26,Gelderland,113
2020-04-30,2020-03-27,Gelderland,175
2020-04-30,2020-03-28,Gelderland,128
2020-04-30,2020-03-29,Gelderland,98
2020-04-30,2020-03-30,Gelderland,101
2020-04-30,2020-03-31,Gelderland,148
2020-04-30,2020-04-01,Gelderland,130
2020-04-30,2020-04-02,Gelderland,135
2020-04-30,2020-04-03,Gelderland,158
2020-04-30,2020-04-04,Gelderland,98
2020-04-30,2020-04-05,Gelderland,86
2020-04-30,2020-04-06,Gelderland,94
2020-04-30,2020-04-07,Gelderland,88
2020-04-30,2020-04-08,Gelderland,165
2020-04-30,2020-04-09,Gelderland,188
2020-04-30,2020-04-10,Gelderland,164
2020-04-30,2020-04-11,Gelderland,163
2020-04-30,2020-04-12,Gelderland,187
2020-04-30,2020-04-13,Gelderland,112
2020-04-30,2020-04-14,Gelderland,108
2020-04-30,2020-04-15,Gelderland,139
2020-04-30,2020-04-16,Gelderland,163
2020-04-30,2020-04-17,Gelderland,193
2020-04-30,2020-04-18,Gelderland,213
2020-04-30,2020-04-19,Gelderland,56
2020-04-30,2020-04-20,Gelderland,92
2020-04-30,2020-04-21,Gelderland,106
2020-04-30,2020-04-22,Gelderland,151
2020-04-30,2020-04-23,Gelderland,93
2020-04-30,2020-04-24,Gelderland,89
2020-04-30,2020-04-25,Gelderland,72
2020-04-30,2020-04-26,Gelderland,36
2020-04-30,2020-04-27,Gelderland,21
2020-04-30,2020-04-28,Gelderland,57
2020-04-30,2020-04-29,Gelderland,49
2020-04-30,2020-04-30,Gelderland,3
2020-04-30,2020-02-27,Utrecht,0
2020-04-30,2020-02-28,Utrecht,0
2020-04-30,2020-02-29,Utrecht,5
2020-04-30,2020-03-01,Utrecht,3
2020-04-30,2020-03-02,Utrecht,17
2020-04-30,2020-03-03,Utrecht,6
2020-04-30,2020-03-04,Utrecht,8
2020-04-30,2020-03-05,Utrecht,10
2020-04-30,2020-03-06,Utrecht,2
2020-04-30,2020-03-07,Utrecht,4
2020-04-30,2020-03-08,Utrecht,1
2020-04-30,2020-03-09,Utrecht,8
2020-04-30,2020-03-10,Utrecht,13
2020-04-30,2020-03-11,Utrecht,11
2020-04-30,2020-03-12,Utrecht,6
2020-04-30,2020-03-13,Utrecht,30
2020-04-30,2020-03-14,Utrecht,22
2020-04-30,2020-03-15,Utrecht,20
2020-04-30,2020-03-16,Utrecht,21
2020-04-30,2020-03-17,Utrecht,29
2020-04-30,2020-03-18,Utrecht,22
2020-04-30,2020-03-19,Utrecht,35
2020-04-30,2020-03-20,Utrecht,57
2020-04-30,2020-03-21,Utrecht,54
2020-04-30,2020-03-22,Utrecht,66
2020-04-30,2020-03-23,Utrecht,53
2020-04-30,2020-03-24,Utrecht,82
2020-04-30,2020-03-25,Utrecht,90
2020-04-30,2020-03-26,Utrecht,84
2020-04-30,2020-03-27,Utrecht,96
2020-04-30,2020-03-28,Utrecht,65
2020-04-30,2020-03-29,Utrecht,57
2020-04-30,2020-03-30,Utrecht,61
2020-04-30,2020-03-31,Utrecht,66
2020-04-30,2020-04-01,Utrecht,94
2020-04-30,2020-04-02,Utrecht,63
2020-04-30,2020-04-03,Utrecht,104
2020-04-30,2020-04-04,Utrecht,53
2020-04-30,2020-04-05,Utrecht,51
2020-04-30,2020-04-06,Utrecht,53
2020-04-30,2020-04-07,Utrecht,68
2020-04-30,2020-04-08,Utrecht,63
2020-04-30,2020-04-09,Utrecht,60
2020-04-30,2020-04-10,Utrecht,56
2020-04-30,2020-04-11,Utrecht,79
2020-04-30,2020-04-12,Utrecht,75
2020-04-30,2020-04-13,Utrecht,45
2020-04-30,2020-04-14,Utrecht,66
2020-04-30,2020-04-15,Utrecht,59
2020-04-30,2020-04-16,Utrecht,69
2020-04-30,2020-04-17,Utrecht,82
2020-04-30,2020-04-18,Utrecht,56
2020-04-30,2020-04-19,Utrecht,45
2020-04-30,2020-04-20,Utrecht,38
2020-04-30,2020-04-21,Utrecht,57
2020-04-30,2020-04-22,Utrecht,77
2020-04-30,2020-04-23,Utrecht,73
2020-04-30,2020-04-24,Utrecht,43
2020-04-30,2020-04-25,Utrecht,58
2020-04-30,2020-04-26,Utrecht,19
2020-04-30,2020-04-27,Utrecht,25
2020-04-30,2020-04-28,Utrecht,25
2020-04-30,2020-04-29,Utrecht,40
2020-04-30,2020-04-30,Utrecht,6
2020-04-30,2020-02-27,Noord-Brabant,1
2020-04-30,2020-02-28,Noord-Brabant,3
2020-04-30,2020-02-29,Noord-Brabant,5
2020-04-30,2020-03-01,Noord-Brabant,6
2020-04-30,2020-03-02,Noord-Brabant,13
2020-04-30,2020-03-03,Noord-Brabant,14
2020-04-30,2020-03-04,Noord-Brabant,15
2020-04-30,2020-03-05,Noord-Brabant,13
2020-04-30,2020-03-06,Noord-Brabant,15
2020-04-30,2020-03-07,Noord-Brabant,14
2020-04-30,2020-03-08,Noord-Brabant,54
2020-04-30,2020-03-09,Noord-Brabant,30
2020-04-30,2020-03-10,Noord-Brabant,62
2020-04-30,2020-03-11,Noord-Brabant,70
2020-04-30,2020-03-12,Noord-Brabant,89
2020-04-30,2020-03-13,Noord-Brabant,64
2020-04-30,2020-03-14,Noord-Brabant,55
2020-04-30,2020-03-15,Noord-Brabant,98
2020-04-30,2020-03-16,Noord-Brabant,77
2020-04-30,2020-03-17,Noord-Brabant,116
2020-04-30,2020-03-18,Noord-Brabant,145
2020-04-30,2020-03-19,Noord-Brabant,154
2020-04-30,2020-03-20,Noord-Brabant,160
2020-04-30,2020-03-21,Noord-Brabant,259
2020-04-30,2020-03-22,Noord-Brabant,145
2020-04-30,2020-03-23,Noord-Brabant,151
2020-04-30,2020-03-24,Noord-Brabant,357
2020-04-30,2020-03-25,Noord-Brabant,228
2020-04-30,2020-03-26,Noord-Brabant,233
2020-04-30,2020-03-27,Noord-Brabant,255
2020-04-30,2020-03-28,Noord-Brabant,255
2020-04-30,2020-03-29,Noord-Brabant,133
2020-04-30,2020-03-30,Noord-Brabant,193
2020-04-30,2020-03-31,Noord-Brabant,235
2020-04-30,2020-04-01,Noord-Brabant,144
2020-04-30,2020-04-02,Noord-Brabant,190
2020-04-30,2020-04-03,Noord-Brabant,186
2020-04-30,2020-04-04,Noord-Brabant,205
2020-04-30,2020-04-05,Noord-Brabant,152
2020-04-30,2020-04-06,Noord-Brabant,143
2020-04-30,2020-04-07,Noord-Brabant,213
2020-04-30,2020-04-08,Noord-Brabant,221
2020-04-30,2020-04-09,Noord-Brabant,196
2020-04-30,2020-04-10,Noord-Brabant,337
2020-04-30,2020-04-11,Noord-Brabant,133
2020-04-30,2020-04-12,Noord-Brabant,100
2020-04-30,2020-04-13,Noord-Brabant,197
2020-04-30,2020-04-14,Noord-Brabant,127
2020-04-30,2020-04-15,Noord-Brabant,192
2020-04-30,2020-04-16,Noord-Brabant,192
2020-04-30,2020-04-17,Noord-Brabant,252
2020-04-30,2020-04-18,Noord-Brabant,173
2020-04-30,2020-04-19,Noord-Brabant,102
2020-04-30,2020-04-20,Noord-Brabant,89
2020-04-30,2020-04-21,Noord-Brabant,118
2020-04-30,2020-04-22,Noord-Brabant,176
2020-04-30,2020-04-23,Noord-Brabant,122
2020-04-30,2020-04-24,Noord-Brabant,137
2020-04-30,2020-04-25,Noord-Brabant,114
2020-04-30,2020-04-26,Noord-Brabant,83
2020-04-30,2020-04-27,Noord-Brabant,34
2020-04-30,2020-04-28,Noord-Brabant,39
2020-04-30,2020-04-29,Noord-Brabant,52
2020-04-30,2020-04-30,Noord-Brabant,26
2020-04-30,2020-02-27,Drenthe,0
2020-04-30,2020-02-28,Drenthe,0
2020-04-30,2020-02-29,Drenthe,2
2020-04-30,2020-03-01,Drenthe,0
2020-04-30,2020-03-02,Drenthe,1
2020-04-30,2020-03-03,Drenthe,0
2020-04-30,2020-03-04,Drenthe,2
2020-04-30,2020-03-05,Drenthe,1
2020-04-30,2020-03-06,Drenthe,2
2020-04-30,2020-03-07,Drenthe,0
2020-04-30,2020-03-08,Drenthe,2
2020-04-30,2020-03-09,Drenthe,2
2020-04-30,2020-03-10,Drenthe,0
2020-04-30,2020-03-11,Drenthe,2
2020-04-30,2020-03-12,Drenthe,0
2020-04-30,2020-03-13,Drenthe,2
2020-04-30,2020-03-14,Drenthe,0
2020-04-30,2020-03-15,Drenthe,2
2020-04-30,2020-03-16,Drenthe,1
2020-04-30,2020-03-17,Drenthe,5
2020-04-30,2020-03-18,Drenthe,4
2020-04-30,2020-03-19,Drenthe,6
2020-04-30,2020-03-20,Drenthe,9
2020-04-30,2020-03-21,Drenthe,4
2020-04-30,2020-03-22,Drenthe,5
2020-04-30,2020-03-23,Drenthe,5
2020-04-30,2020-03-24,Drenthe,4
2020-04-30,2020-03-25,Drenthe,13
2020-04-30,2020-03-26,Drenthe,12
2020-04-30,2020-03-27,Drenthe,14
2020-04-30,2020-03-28,Drenthe,17
2020-04-30,2020-03-29,Drenthe,6
2020-04-30,2020-03-30,Drenthe,5
2020-04-30,2020-03-31,Drenthe,19
2020-04-30,2020-04-01,Drenthe,14
2020-04-30,2020-04-02,Drenthe,18
2020-04-30,2020-04-03,Drenthe,13
2020-04-30,2020-04-04,Drenthe,16
2020-04-30,2020-04-05,Drenthe,9
2020-04-30,2020-04-06,Drenthe,8
2020-04-30,2020-04-07,Drenthe,23
2020-04-30,2020-04-08,Drenthe,27
2020-04-30,2020-04-09,Drenthe,11
2020-04-30,2020-04-10,Drenthe,22
2020-04-30,2020-04-11,Drenthe,7
2020-04-30,2020-04-12,Drenthe,10
2020-04-30,2020-04-13,Drenthe,6
